holder_id,household_id,parcel_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,saq15,s2q01,s2q01a,s2q02,s2q03,s2q04a_1,s2q04a_2,s2q04a_os,s2q04b_1,s2q04b_2,s2q04b_3,s2q04b_4,s2q05,s2q05_os,s2q06,s2q07_1,s2q07_2,s2q08,s2q09_1,s2q09_2,s2q10a,s2q10b,s2q10c,s2q11,s2q11_os,s2q12_1,s2q12_2,s2q12_os,s2q13,s2q14,s2q15a,s2q15b,s2q15c,s2q16,s2q16_os,s2q17
01050108880090209501,010501088800902095,2,010501088800902,1. RURAL,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,95,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,"6. RENTAL CONTRACT, REGISTERED",,,1,,,,3. Rent,,,,,,,,2500,0,,1. Main Season,,2. FRIEND/NEIGHBOR,,,,,,,,3. Vertisol.,,1. Good
01050108880090209501,010501088800902095,3,010501088800902,1. RURAL,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,95,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,"6. RENTAL CONTRACT, REGISTERED",,,1,,,,3. Rent,,,,,,,,1500,0,,1. Main Season,,2. FRIEND/NEIGHBOR,,,,,,,,3. Vertisol.,,1. Good
01050108880090210701,010501088800902107,1,010501088800902,1. RURAL,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,107,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,2. NO,,,,,,,,,,,4. No,8400,,,,3. Vertisol.,,2. Fair
01050108880090210701,010501088800902107,2,010501088800902,1. RURAL,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,107,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,"6. RENTAL CONTRACT, REGISTERED",,,1,,,,3. Rent,,,,,,,,1000,0,,1. Main Season,,2. FRIEND/NEIGHBOR,,,,,,,,3. Vertisol.,,1. Good
01050108880090210701,010501088800902107,3,010501088800902,1. RURAL,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,107,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,2. NO,,,,,,,,,,,4. No,20000,,,,5. Mixed type,,2. Fair
01050108880090211801,010501088800902118,1,010501088800902,1. RURAL,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,118,1,1. crop production only,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,1400,,,,5. Mixed type,,2. Fair
01050108880090211801,010501088800902118,2,010501088800902,1. RURAL,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,118,1,1. crop production only,**CONFIDENTIAL**,1,4,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,2. NO,,,,,,,,,,,4. No,4000,,,,4. Luvisol,,1. Good
01050208880141000701,010502088801410007,1,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,7,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,8,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,6000,,,,4. Luvisol,,2. Fair
01050208880141000701,010502088801410007,2,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,7,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,5000,,,,4. Luvisol,,2. Fair
01050208880141001501,010502088801410015,1,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,15,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,4,2. NO,,,,,,,,2. Gift/Inherited,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,5000,,,,4. Luvisol,,2. Fair
01050208880141001501,010502088801410015,2,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,15,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,8000,,,,4. Luvisol,,2. Fair
01050208880141002301,010502088801410023,1,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,23,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,12,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,6000,,,,6. OTHER SOIL TYPE (SPECIFY),Forefor,3. Poor
01050208880141002301,010502088801410023,2,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,23,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,3500,0,,1. Main Season,,2. FRIEND/NEIGHBOR,,,,,,,,3. Vertisol.,,2. Fair
01050208880141003101,010502088801410031,1,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,31,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,12,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,4500,,,,4. Luvisol,,2. Fair
01050208880141003901,010502088801410039,1,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,39,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,8,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,8000,,,,4. Luvisol,,2. Fair
01050208880141003901,010502088801410039,2,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,39,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,3000,0,,1. Main Season,,2. FRIEND/NEIGHBOR,,,,,,,,3. Vertisol.,,2. Fair
01050208880141004701,010502088801410047,1,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,47,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,6,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,6000,,,,6. OTHER SOIL TYPE (SPECIFY),Forefor,2. Fair
01050208880141004701,010502088801410047,2,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,47,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,4000,0,,1. Main Season,,2. FRIEND/NEIGHBOR,,,,,,,,3. Vertisol.,,1. Good
01050208880141005501,010502088801410055,1,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,55,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,12,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,5000,,,,4. Luvisol,,3. Poor
01050208880141006301,010502088801410063,1,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,63,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,8,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,6000,,,,4. Luvisol,,2. Fair
01050208880141007101,010502088801410071,1,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,71,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,4,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,1500,,,,4. Luvisol,,2. Fair
01050208880141007901,010502088801410079,1,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,79,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,4,2. NO,,,,,,,,2. Gift/Inherited,,2. NO,,,2. NO,,,,,,,,,,,4. No,2000,,,,4. Luvisol,,2. Fair
01050208880141007901,010502088801410079,2,010502088801410,1. RURAL,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,79,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,2. Gift/Inherited,,2. NO,,,2. NO,,,,,,,,,,,4. No,1000,,,,3. Vertisol.,,2. Fair
01050308880080301201,010503088800803012,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,12,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,"6. RENTAL CONTRACT, REGISTERED",,1,2,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,950,,,,4. Luvisol,,2. Fair
01050308880080301201,010503088800803012,2,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,12,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,2,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,3500,,,,3. Vertisol.,,1. Good
01050308880080302501,010503088800803025,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,25,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,"6. RENTAL CONTRACT, REGISTERED",,,1,2,,,3. Rent,,,,,,,,1200,0,,3. Full Year,,99. OTHER (SPECIFY),,yeleka bota nuary,,,,,,1. Leptosol,,3. Poor
01050308880080302501,010503088800803025,2,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,25,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,3,1. YES,"6. RENTAL CONTRACT, REGISTERED",,,1,2,,,3. Rent,,,,,,,,6500,0,,1. Main Season,,2. FRIEND/NEIGHBOR,,,,,,,,1. Leptosol,,1. Good
01050308880080303701,010503088800803037,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,37,1,3. Both livestock and crop production,**CONFIDENTIAL**,2,3,1. YES,"6. RENTAL CONTRACT, REGISTERED",,,1,,,,3. Rent,,,,,,,,950,0,,4. Other Specify,Esketemechen gize,2. FRIEND/NEIGHBOR,,,,,,,,1. Leptosol,,1. Good
01050308880080303701,010503088800803037,2,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,37,1,3. Both livestock and crop production,**CONFIDENTIAL**,3,3,1. YES,"6. RENTAL CONTRACT, REGISTERED",,,1,2,,,3. Rent,,,,,,,,6000,0,,3. Full Year,,99. OTHER (SPECIFY),,yakebaby nuary,,,,,,3. Vertisol.,,2. Fair
01050308880080304801,010503088800803048,1,010503088800803,1. RURAL,194.4011520737327,1. TIGRAY,05,03,8,88,008,03,48,1,4. none ,**CONFIDENTIAL**,1,1,1. YES,"6. RENTAL CONTRACT, REGISTERED",,,1,,,,3. Rent,,,,,,,,300,0,,3. Full Year,,2. FRIEND/NEIGHBOR,,,,,,,,1. Leptosol,,2. Fair
01050308880080305201,010503088800803052,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,52,1,1. crop production only,**CONFIDENTIAL**,1,2,1. YES,"6. RENTAL CONTRACT, REGISTERED",,,1,,,,3. Rent,,,,,,,,2400,0,,3. Full Year,,7. VDC MEMBER,,,,,,,,1. Leptosol,,3. Poor
01050308880080305201,010503088800803052,2,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,52,1,1. crop production only,**CONFIDENTIAL**,1,2,1. YES,3. CERTIFICATE OF OCCUPANCY,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,20000,,,,5. Mixed type,,1. Good
01050308880080306401,010503088800803064,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,64,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,4. CERTIFICATE OF HEREDITARY ACQUISITION LISTED IN REGISTRY,,,1,2,,,2. Gift/Inherited,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,1200,,,,2. Cambisol,,2. Fair
01050308880080307601,010503088800803076,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,76,1,1. crop production only,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,2000,,,,4. Luvisol,,2. Fair
01050308880080309001,010503088800803090,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,90,1,3. Both livestock and crop production,**CONFIDENTIAL**,2,2,1. YES,1. TITLE DEED,,,1,2,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,2500,,,,1. Leptosol,,2. Fair
01050308880080310301,010503088800803103,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,103,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,"6. RENTAL CONTRACT, REGISTERED",,,1,,,,3. Rent,,,,,,,,750,0,,3. Full Year,,1. RELATIVE,,,,,,,,3. Vertisol.,,1. Good
01050308880080310301,010503088800803103,2,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,103,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,10000,,,,3. Vertisol.,,1. Good
01050308880080311401,010503088800803114,1,010503088800803,1. RURAL,194.4011520737327,1. TIGRAY,05,03,8,88,008,03,114,1,4. none ,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,4. Borrowed for Free,,,,,,,,,,,3. Full Year,,1. RELATIVE,,,,,,,,1. Leptosol,,2. Fair
01050308880080311701,010503088800803117,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,117,1,1. crop production only,**CONFIDENTIAL**,1,1,1. YES,"6. RENTAL CONTRACT, REGISTERED",,,1,2,,,3. Rent,,,,,,,,6000,0,,3. Full Year,,2. FRIEND/NEIGHBOR,,,,,,,,4. Luvisol,,1. Good
01050308880080311701,010503088800803117,2,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,117,1,1. crop production only,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,2. CERTIFICATE OF CUSTOMARY OWNERSHIP,,1,2,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,8000,,,,3. Vertisol.,,2. Fair
01050308880080311701,010503088800803117,3,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,117,1,1. crop production only,**CONFIDENTIAL**,1,1,1. YES,"6. RENTAL CONTRACT, REGISTERED",,,1,,,,3. Rent,,,,,,,,6500,0,,1. Main Season,,2. FRIEND/NEIGHBOR,,,,,,,,3. Vertisol.,,1. Good
01050308880080313201,010503088800803132,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,132,1,1. crop production only,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,"6. RENTAL CONTRACT, REGISTERED",,1,,,,3. Rent,,,,,,,,950,0,,3. Full Year,,2. FRIEND/NEIGHBOR,,,,,,,,1. Leptosol,,2. Fair
01050308880080313201,010503088800803132,2,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,132,1,1. crop production only,**CONFIDENTIAL**,1,4,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,2,,,,,,,,,4. No,25000,,,,1. Leptosol,,1. Good
01070108880200401001,010701088802004010,1,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,10,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,3000,,,,1. Leptosol,,2. Fair
01070108880200401001,010701088802004010,2,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,10,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,2000,,,,1. Leptosol,,2. Fair
01070108880200401001,010701088802004010,3,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,10,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,2000,,,,1. Leptosol,,2. Fair
01070108880200401001,010701088802004010,4,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,10,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,2,,,,,,,,,4. No,3000,,,,1. Leptosol,,2. Fair
01070108880200402201,010701088802004022,1,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,22,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,3,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,5000,,,,1. Leptosol,,1. Good
01070108880200403401,010701088802004034,1,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,34,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,2000,,,,1. Leptosol,,2. Fair
01070108880200403401,010701088802004034,2,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,34,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,2500,,,,1. Leptosol,,2. Fair
01070108880200403401,010701088802004034,3,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,34,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,3000,,,,1. Leptosol,,2. Fair
01070108880200404601,010701088802004046,1,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,46,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,3,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,2000,,,,1. Leptosol,,2. Fair
01070108880200404601,010701088802004046,2,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,46,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,2500,,,,1. Leptosol,,2. Fair
01070108880200404601,010701088802004046,3,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,46,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,2000,,,,1. Leptosol,,2. Fair
01070108880200405801,010701088802004058,1,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,58,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,3000,,,,1. Leptosol,,2. Fair
01070108880200407001,010701088802004070,1,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,70,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,4,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,5000,,,,1. Leptosol,,2. Fair
01070108880200408201,010701088802004082,1,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,82,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,3,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,5000,,,,1. Leptosol,,1. Good
01070108880200409401,010701088802004094,1,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,94,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,2,,,,,,,,,4. No,2500,,,,1. Leptosol,,2. Fair
01070108880200409401,010701088802004094,2,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,94,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,1500,,,,1. Leptosol,,2. Fair
01070108880200409401,010701088802004094,3,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,94,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,2000,,,,1. Leptosol,,2. Fair
01070108880200410601,010701088802004106,1,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,106,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,2,,,,,,,,,4. No,2000,,,,1. Leptosol,,2. Fair
01070108880200411801,010701088802004118,1,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,118,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,4,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,2,,,,,,,,,4. No,7000,,,,1. Leptosol,,2. Fair
01070208880140900801,010702088801409008,1,010702088801409,1. RURAL,2226.911482993197,1. TIGRAY,07,02,8,88,014,09,8,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,3000,,,,5. Mixed type,,2. Fair
01070208880140900801,010702088801409008,2,010702088801409,1. RURAL,2226.911482993197,1. TIGRAY,07,02,8,88,014,09,8,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,"2. Yes,all in all sharecropped out ",,,,50,5. Mixed type,,2. Fair
01070208880140901601,010702088801409016,1,010702088801409,1. RURAL,2226.911482993197,1. TIGRAY,07,02,8,88,014,09,16,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,8000,,,,4. Luvisol,,2. Fair
01070208880140901601,010702088801409016,2,010702088801409,1. RURAL,2226.911482993197,1. TIGRAY,07,02,8,88,014,09,16,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,4,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,2,,,,,,,,,4. No,10000,,,,5. Mixed type,,2. Fair
01070208880140901601,010702088801409016,3,010702088801409,1. RURAL,2226.911482993197,1. TIGRAY,07,02,8,88,014,09,16,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,2,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,12000,,,,5. Mixed type,,2. Fair
01070208880140901601,010702088801409016,4,010702088801409,1. RURAL,2226.911482993197,1. TIGRAY,07,02,8,88,014,09,16,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,2000,,,,5. Mixed type,,2. Fair
01070208880140901601,010702088801409016,5,010702088801409,1. RURAL,2226.911482993197,1. TIGRAY,07,02,8,88,014,09,16,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,2500,,,,5. Mixed type,,2. Fair
01070208880140902401,010702088801409024,1,010702088801409,1. RURAL,2226.911482993197,1. TIGRAY,07,02,8,88,014,09,24,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,4. CERTIFICATE OF HEREDITARY ACQUISITION LISTED IN REGISTRY,,,1,2,,,2. Gift/Inherited,,1. YES,1,2,1. YES,1,2,,,,,,,,,"3. Yes,all given out for free",7500,,,,5. Mixed type,,2. Fair
01070208880140902401,010702088801409024,2,010702088801409,1. RURAL,2226.911482993197,1. TIGRAY,07,02,8,88,014,09,24,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,2,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,3000,,,,5. Mixed type,,2. Fair
01070208880140902401,010702088801409024,3,010702088801409,1. RURAL,2226.911482993197,1. TIGRAY,07,02,8,88,014,09,24,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,3,1. YES,1. TITLE DEED,,,1,2,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,12000,,,,1. Leptosol,,2. Fair
01070208880140902401,010702088801409024,4,010702088801409,1. RURAL,2226.911482993197,1. TIGRAY,07,02,8,88,014,09,24,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,6. Shared Crop in,,,,,,,,,,50,3. Full Year,,1. RELATIVE,2. FRIEND/NEIGHBOR,,,,,,,5. Mixed type,,2. Fair
01070208880140903201,010702088801409032,1,010702088801409,1. RURAL,2226.911482993197,1. TIGRAY,07,02,8,88,014,09,32,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,2,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,5000,,,,5. Mixed type,,2. Fair
01070208880140903201,010702088801409032,2,010702088801409,1. RURAL,2226.911482993197,1. TIGRAY,07,02,8,88,014,09,32,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,6500,,,,5. Mixed type,,2. Fair
