ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs5q01_1,cs5q01_2,cs5q01_3,cs5q01_os,cs5q02,cs5q03,cs5q04,cs5q05_1,cs5q05_2,cs5q05_os,cs5q06,cs5q07,cs5q08_1,cs5q08_2,cs5q08_os,cs5q09,cs5q10,cs5q11
030707088800708,1. RURAL,3. AMHARA,07,07,8,88,007,08,1. Farming,,,,1. YES,10,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
030710088801809,1. RURAL,3. AMHARA,07,10,8,88,018,09,1. Farming,,,,1. YES,5,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,1. YES,5,50
030714010100520,2. URBAN,3. AMHARA,07,14,1,1,005,20,"5. Beer Brewing, Kachasu",4. Small-Scale Trade & Service Provision,10. Civil Service,,1. YES,15,1. Rural Areas,1. Farming,,,1. YES,1. Rural Areas,"5. Beer Brewing, Kachasu",4. Small-Scale Trade & Service Provision,,1. YES,38,35
030803030100101,2. URBAN,3. AMHARA,08,03,3,1,001,01,1. Farming,4. Small-Scale Trade & Service Provision,11. Other (Specify),labour,1. YES,20,2. Urban Centres,1. Farming,11. Other (Specify),labour,2. NO,,,,,2. NO,,
030803088802708,1. RURAL,3. AMHARA,08,03,8,88,027,08,1. Farming,,,,1. YES,2,2. Urban Centres,1. Farming,9. Professional Occupations,,2. NO,,,,,2. NO,,
030808088800201,1. RURAL,3. AMHARA,08,08,8,88,002,01,1. Farming,,,,1. YES,23,2. Urban Centres,1. Farming,9. Professional Occupations,,2. NO,,,,,2. NO,,
030902088800605,1. RURAL,3. AMHARA,09,02,8,88,006,05,1. Farming,,,,1. YES,10,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
030906088802103,1. RURAL,3. AMHARA,09,06,8,88,021,03,1. Farming,"5. Beer Brewing, Kachasu",9. Professional Occupations,,1. YES,1,1. Rural Areas,1. Farming,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
030910010100304,2. URBAN,3. AMHARA,09,10,1,1,003,04,"5. Beer Brewing, Kachasu",4. Small-Scale Trade & Service Provision,,,1. YES,15,1. Rural Areas,1. Farming,,,1. YES,1. Rural Areas,11. Other (Specify),,Yekensira,2. NO,,
031002088801007,1. RURAL,3. AMHARA,10,02,8,88,010,07,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
031004088801803,1. RURAL,3. AMHARA,10,04,8,88,018,03,1. Farming,"3. Firewood, Charcoal Selling",10. Civil Service,,1. YES,25,3. Outside Ethiopia,9. Professional Occupations,"3. Firewood, Charcoal Selling",,2. NO,,,,,2. NO,,
031007010100107,2. URBAN,3. AMHARA,10,07,1,1,001,07,4. Small-Scale Trade & Service Provision,11. Other (Specify),10. Civil Service,yken sertgha,1. YES,20,2. Urban Centres,9. Professional Occupations,,,1. YES,1. Rural Areas,8. Large-Scale Commercial Industry,,,1. YES,1,2
031101088800314,1. RURAL,3. AMHARA,11,01,8,88,003,14,1. Farming,,,,1. YES,5,2. Urban Centres,10. Civil Service,,,2. NO,,,,,2. NO,,
031101088800715,1. RURAL,3. AMHARA,11,01,8,88,007,15,1. Farming,"3. Firewood, Charcoal Selling","5. Beer Brewing, Kachasu",,1. YES,10,2. Urban Centres,9. Professional Occupations,11. Other (Specify),Yeken Sera,2. NO,,,,,2. NO,,
031105010500201,2. URBAN,3. AMHARA,11,05,1,5,002,01,11. Other (Specify),4. Small-Scale Trade & Service Provision,10. Civil Service,Yegulbet Sira,1. YES,5,3. Outside Ethiopia,11. Other (Specify),,Yetgegnewn  Sira Lemesrat,1. YES,1. Rural Areas,11. Other (Specify),,Yeken Sira,1. YES,3,2
031201088800105,1. RURAL,3. AMHARA,12,01,8,88,001,05,1. Farming,,,,1. YES,1,3. Outside Ethiopia,11. Other (Specify),,mangnawmnm sira,2. NO,,,,,2. NO,,
031201088800502,1. RURAL,3. AMHARA,12,01,8,88,005,02,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,4,3. Outside Ethiopia,11. Other (Specify),,yegulbet sera,2. NO,,,,,2. NO,,
031301088800101,1. RURAL,3. AMHARA,13,01,8,88,001,01,1. Farming,4. Small-Scale Trade & Service Provision,10. Civil Service,,2. NO,,,,,,2. NO,,,,,2. NO,,
031301088800401,1. RURAL,3. AMHARA,13,01,8,88,004,01,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,10,2. Urban Centres,10. Civil Service,,,2. NO,,,,,2. NO,,
031303010300223,2. URBAN,3. AMHARA,13,03,1,3,002,23,11. Other (Specify),10. Civil Service,4. Small-Scale Trade & Service Provision,Tureta,1. YES,25,2. Urban Centres,"6. Handicraft Production, Small-Scale Industry",4. Small-Scale Trade & Service Provision,,1. YES,1. Rural Areas,9. Professional Occupations,,,1. YES,67,25
031401088800203,1. RURAL,3. AMHARA,14,01,8,88,002,03,1. Farming,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,1. YES,15,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
031401088800709,1. RURAL,3. AMHARA,14,01,8,88,007,09,1. Farming,,,,2. NO,,,,,,1. YES,1. Rural Areas,1. Farming,,,1. YES,9,8
031405010100309,2. URBAN,3. AMHARA,14,05,1,1,003,09,10. Civil Service,4. Small-Scale Trade & Service Provision,"6. Handicraft Production, Small-Scale Industry",,2. NO,,,,,,1. YES,1. Rural Areas,11. Other (Specify),,Yebyet Serategenete,1. YES,5,3
031503088800107,1. RURAL,3. AMHARA,15,03,8,88,001,07,1. Farming,,,,1. YES,5,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
031506010100103,2. URBAN,3. AMHARA,15,06,1,1,001,03,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",1. Farming,,1. YES,10,1. Rural Areas,1. Farming,11. Other (Specify),Yekene Sera,1. YES,1. Rural Areas,11. Other (Specify),9. Professional Occupations,Yekene sera,1. YES,5,3
031506088800509,1. RURAL,3. AMHARA,15,06,8,88,005,09,1. Farming,"5. Beer Brewing, Kachasu",,,1. YES,8,1. Rural Areas,1. Farming,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
031511088801109,1. RURAL,3. AMHARA,15,11,8,88,011,09,1. Farming,"5. Beer Brewing, Kachasu",4. Small-Scale Trade & Service Provision,,1. YES,15,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
031603088801008,1. RURAL,3. AMHARA,16,03,8,88,010,08,1. Farming,"5. Beer Brewing, Kachasu",4. Small-Scale Trade & Service Provision,,1. YES,5,2. Urban Centres,"5. Beer Brewing, Kachasu",4. Small-Scale Trade & Service Provision,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
031604088800605,1. RURAL,3. AMHARA,16,04,8,88,006,05,1. Farming,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,1. YES,5,1. Rural Areas,1. Farming,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
031605010100105,2. URBAN,3. AMHARA,16,05,1,1,001,05,1. Farming,"5. Beer Brewing, Kachasu",4. Small-Scale Trade & Service Provision,,1. YES,5,2. Urban Centres,4. Small-Scale Trade & Service Provision,10. Civil Service,,1. YES,1. Rural Areas,1. Farming,4. Small-Scale Trade & Service Provision,,1. YES,10,3
040116010100105,2. URBAN,4. OROMIA,01,16,1,1,001,05,4. Small-Scale Trade & Service Provision,,,,1. YES,10,2. Urban Centres,4. Small-Scale Trade & Service Provision,,,1. YES,1. Rural Areas,"6. Handicraft Production, Small-Scale Industry",4. Small-Scale Trade & Service Provision,,2. NO,,
040203088800403,1. RURAL,4. OROMIA,02,03,8,88,004,03,1. Farming,,,,1. YES,3,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
040212088800506,1. RURAL,4. OROMIA,02,12,8,88,005,06,1. Farming,,,,1. YES,5,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
040302010100105,2. URBAN,4. OROMIA,03,02,1,1,001,05,4. Small-Scale Trade & Service Provision,1. Farming,10. Civil Service,,2. NO,,,,,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,1. Farming,,2. NO,,
040302088801201,1. RURAL,4. OROMIA,03,02,8,88,012,01,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
040310088800903,1. RURAL,4. OROMIA,03,10,8,88,009,03,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
040403088803808,1. RURAL,4. OROMIA,04,03,8,88,038,08,1. Farming,,,,1. YES,2,3. Outside Ethiopia,9. Professional Occupations,,,2. NO,,,,,2. NO,,
040409088801903,1. RURAL,4. OROMIA,04,09,8,88,019,03,1. Farming,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
040416088800808,1. RURAL,4. OROMIA,04,16,8,88,008,08,1. Farming,4. Small-Scale Trade & Service Provision,"6. Handicraft Production, Small-Scale Industry",,2. NO,,,,,,2. NO,,,,,2. NO,,
040417010100207,2. URBAN,4. OROMIA,04,17,1,1,002,07,10. Civil Service,"6. Handicraft Production, Small-Scale Industry",4. Small-Scale Trade & Service Provision,,2. NO,,,,,,2. NO,,,,,1. YES,5,2
040502088800607,1. RURAL,4. OROMIA,05,02,8,88,006,07,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
040511088800604,1. RURAL,4. OROMIA,05,11,8,88,006,04,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
040521020100101,2. URBAN,4. OROMIA,05,21,2,1,001,01,1. Farming,"5. Beer Brewing, Kachasu",,,1. YES,30,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,2. NO,,
040601088802404,1. RURAL,4. OROMIA,06,01,8,88,024,04,1. Farming,,,,1. YES,5,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
040606088801505,1. RURAL,4. OROMIA,06,06,8,88,015,05,1. Farming,,,,1. YES,2,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,2. NO,,
040702030100113,2. URBAN,4. OROMIA,07,02,3,1,001,13,11. Other (Specify),,,Yeken Sira,1. YES,10,2. Urban Centres,9. Professional Occupations,,,1. YES,1. Rural Areas,11. Other (Specify),,Yeken Sira,2. NO,,
040807010100204,2. URBAN,4. OROMIA,08,07,1,1,002,04,4. Small-Scale Trade & Service Provision,,,,1. YES,5,3. Outside Ethiopia,11. Other (Specify),,Yegulebete Sera,1. YES,1. Rural Areas,11. Other (Specify),,Yekene Sera,2. NO,,
040903010100103,2. URBAN,4. OROMIA,09,03,1,1,001,03,9. Professional Occupations,,,,1. YES,3,2. Urban Centres,9. Professional Occupations,4. Small-Scale Trade & Service Provision,,1. YES,1. Rural Areas,9. Professional Occupations,,,2. NO,,
040903088802905,1. RURAL,4. OROMIA,09,03,8,88,029,05,1. Farming,9. Professional Occupations,10. Civil Service,,1. YES,2,2. Urban Centres,1. Farming,9. Professional Occupations,,2. NO,,,,,2. NO,,
040909088802804,1. RURAL,4. OROMIA,09,09,8,88,028,04,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,10,3. Outside Ethiopia,9. Professional Occupations,,,2. NO,,,,,2. NO,,
040913088802102,1. RURAL,4. OROMIA,09,13,8,88,021,02,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,25,2. Urban Centres,1. Farming,,,2. NO,,,,,2. NO,,
041001088801403,1. RURAL,4. OROMIA,10,01,8,88,014,03,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,20,1. Rural Areas,11. Other (Specify),,Yegulbet sira,2. NO,,,,,2. NO,,
041008088801110,1. RURAL,4. OROMIA,10,08,8,88,011,10,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,10,2. Urban Centres,9. Professional Occupations,11. Other (Specify),yeken sira,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
041009010100207,2. URBAN,4. OROMIA,10,09,1,1,002,07,1. Farming,,,,1. YES,1,2. Urban Centres,9. Professional Occupations,,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,,,2. NO,,
041013088801410,1. RURAL,4. OROMIA,10,13,8,88,014,10,1. Farming,,,,1. YES,2,1. Rural Areas,11. Other (Specify),,yegulbat sera,2. NO,,,,,2. NO,,
041109088800302,1. RURAL,4. OROMIA,11,09,8,88,003,02,1. Farming,,,,1. YES,10,3. Outside Ethiopia,9. Professional Occupations,,,2. NO,,,,,2. NO,,
041112010100108,2. URBAN,4. OROMIA,11,12,1,1,001,08,9. Professional Occupations,4. Small-Scale Trade & Service Provision,"6. Handicraft Production, Small-Scale Industry",,1. YES,12,3. Outside Ethiopia,9. Professional Occupations,,,1. YES,1. Rural Areas,9. Professional Occupations,,,1. YES,30,10
041117088800104,1. RURAL,4. OROMIA,11,17,8,88,001,04,11. Other (Specify),,,bete ensisat marbat,1. YES,1,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,2. NO,,
041207088800703,1. RURAL,4. OROMIA,12,07,8,88,007,03,1. Farming,,,,1. YES,15,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,2. NO,,
041212088800904,1. RURAL,4. OROMIA,12,12,8,88,009,04,1. Farming,,,,1. YES,10,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,2. NO,,
041303088803505,1. RURAL,4. OROMIA,13,03,8,88,035,05,1. Farming,4. Small-Scale Trade & Service Provision,"3. Firewood, Charcoal Selling",,1. YES,50,2. Urban Centres,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,2. NO,,
041310088801505,1. RURAL,4. OROMIA,13,10,8,88,015,05,1. Farming,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,1. YES,5,2. Urban Centres,11. Other (Specify),,yegulbet sera,2. NO,,,,,2. NO,,
041401088802208,1. RURAL,4. OROMIA,14,01,8,88,022,08,1. Farming,,,,2. NO,,,,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
041402010100102,2. URBAN,4. OROMIA,14,02,1,1,001,02,4. Small-Scale Trade & Service Provision,1. Farming,10. Civil Service,,1. YES,10,2. Urban Centres,11. Other (Specify),,yeken sira,1. YES,1. Rural Areas,9. Professional Occupations,,,2. NO,,
041407088800512,1. RURAL,4. OROMIA,14,07,8,88,005,12,1. Farming,,,,2. NO,,,,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
041502088800405,1. RURAL,4. OROMIA,15,02,8,88,004,05,1. Farming,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,,2. NO,,,,,2. NO,,
041506088800605,1. RURAL,4. OROMIA,15,06,8,88,006,05,1. Farming,,,,2. NO,,,,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
041602020100103,2. URBAN,4. OROMIA,16,02,2,1,001,03,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,10,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,2. NO,,
041602088800902,1. RURAL,4. OROMIA,16,02,8,88,009,02,1. Farming,,,,1. YES,20,2. Urban Centres,11. Other (Specify),,ye kan sira,2. NO,,,,,1. YES,5,8
041606088800702,1. RURAL,4. OROMIA,16,06,8,88,007,02,1. Farming,"5. Beer Brewing, Kachasu",10. Civil Service,,2. NO,,,,,,1. YES,1. Rural Areas,1. Farming,,,1. YES,5,0
041701088800105,1. RURAL,4. OROMIA,17,01,8,88,001,05,1. Farming,9. Professional Occupations,,,1. YES,1,2. Urban Centres,9. Professional Occupations,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
041704088803702,1. RURAL,4. OROMIA,17,04,8,88,037,02,1. Farming,9. Professional Occupations,,,1. YES,1,2. Urban Centres,9. Professional Occupations,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
041709088800509,1. RURAL,4. OROMIA,17,09,8,88,005,09,1. Farming,9. Professional Occupations,,,1. YES,1,2. Urban Centres,9. Professional Occupations,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
041801088800702,1. RURAL,4. OROMIA,18,01,8,88,007,02,1. Farming,,,,1. YES,30,2. Urban Centres,"6. Handicraft Production, Small-Scale Industry",,,1. YES,2. Urban Centres,1. Farming,,,2. NO,,
041803010100206,2. URBAN,4. OROMIA,18,03,1,1,002,06,1. Farming,"3. Firewood, Charcoal Selling","5. Beer Brewing, Kachasu",,1. YES,5,2. Urban Centres,9. Professional Occupations,,,1. YES,1. Rural Areas,"6. Handicraft Production, Small-Scale Industry",,,2. NO,,
041805088802106,1. RURAL,4. OROMIA,18,05,8,88,021,06,1. Farming,,,,1. YES,1,2. Urban Centres,4. Small-Scale Trade & Service Provision,,,1. YES,2. Urban Centres,1. Farming,,,2. NO,,
041907088801302,1. RURAL,4. OROMIA,19,07,8,88,013,02,1. Farming,"5. Beer Brewing, Kachasu",4. Small-Scale Trade & Service Provision,,1. YES,20,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
041911088801308,1. RURAL,4. OROMIA,19,11,8,88,013,08,1. Farming,"5. Beer Brewing, Kachasu",4. Small-Scale Trade & Service Provision,,2. NO,,,,,,2. NO,,,,,2. NO,,
042002088802503,1. RURAL,4. OROMIA,20,02,8,88,025,03,1. Farming,,,,1. YES,2,2. Urban Centres,9. Professional Occupations,4. Small-Scale Trade & Service Provision,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,2. NO,,
042007088801902,1. RURAL,4. OROMIA,20,07,8,88,019,02,1. Farming,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,,2. NO,,,,,2. NO,,
042101010101005,2. URBAN,4. OROMIA,21,01,1,1,010,05,4. Small-Scale Trade & Service Provision,,,,2. NO,,,,,,1. YES,1. Rural Areas,11. Other (Specify),,Ken Sera,2. NO,,
042101010501435,2. URBAN,4. OROMIA,21,01,1,5,014,35,10. Civil Service,,,,1. YES,10,2. Urban Centres,9. Professional Occupations,,,1. YES,1. Rural Areas,11. Other (Specify),,Yekene sera,2. NO,,
042323010101103,2. URBAN,4. OROMIA,23,23,1,1,011,03,4. Small-Scale Trade & Service Provision,,,,1. YES,1,2. Urban Centres,10. Civil Service,,,1. YES,1. Rural Areas,8. Large-Scale Commercial Industry,,,1. YES,1,1
042424010100685,2. URBAN,4. OROMIA,24,24,1,1,006,85,11. Other (Specify),4. Small-Scale Trade & Service Provision,,Negade,2. NO,,,,,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,,,1. YES,10,20
042828010100624,2. URBAN,4. OROMIA,28,28,1,1,006,24,4. Small-Scale Trade & Service Provision,10. Civil Service,,,1. YES,1,2. Urban Centres,10. Civil Service,,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,10. Civil Service,,1. YES,10,5
043030010100345,2. URBAN,4. OROMIA,30,30,1,1,003,45,4. Small-Scale Trade & Service Provision,,,,2. NO,,,,,,1. YES,1. Rural Areas,8. Large-Scale Commercial Industry,9. Professional Occupations,,1. YES,10,10
043131010100723,2. URBAN,4. OROMIA,31,31,1,1,007,23,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",9. Professional Occupations,,2. NO,,,,,,1. YES,1. Rural Areas,11. Other (Specify),,yqansira,1. YES,15,5
043535010100252,2. URBAN,4. OROMIA,35,35,1,1,002,52,"6. Handicraft Production, Small-Scale Industry",4. Small-Scale Trade & Service Provision,,,2. NO,,,,,,1. YES,1. Rural Areas,9. Professional Occupations,,,1. YES,15,10
050102010100102,2. URBAN,5. SOMALI,01,02,1,1,001,02,4. Small-Scale Trade & Service Provision,1. Farming,,,1. YES,20,2. Urban Centres,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,2. NO,,
050103088801103,1. RURAL,5. SOMALI,01,03,8,88,011,03,1. Farming,,,,2. NO,,,,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
050109088800301,1. RURAL,5. SOMALI,01,09,8,88,003,01,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050202088801303,1. RURAL,5. SOMALI,02,02,8,88,013,03,1. Farming,,,,2. NO,,,,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
050205030100101,2. URBAN,5. SOMALI,02,05,3,1,001,01,4. Small-Scale Trade & Service Provision,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050205088802405,1. RURAL,5. SOMALI,02,05,8,88,024,05,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050206088801407,1. RURAL,5. SOMALI,02,06,8,88,014,07,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050207088800806,1. RURAL,5. SOMALI,02,07,8,88,008,06,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050212010100806,2. URBAN,5. SOMALI,02,12,1,1,008,06,9. Professional Occupations,,,,1. YES,3,2. Urban Centres,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,2. NO,,
050212010101601,2. URBAN,5. SOMALI,02,12,1,1,016,01,4. Small-Scale Trade & Service Provision,,,,1. YES,100,2. Urban Centres,10. Civil Service,,,1. YES,1. Rural Areas,9. Professional Occupations,,,2. NO,,
050212010101923,2. URBAN,5. SOMALI,02,12,1,1,019,23,4. Small-Scale Trade & Service Provision,10. Civil Service,7. Transport,,1. YES,2,2. Urban Centres,9. Professional Occupations,4. Small-Scale Trade & Service Provision,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,7. Transport,,1. YES,3,2
050212010102805,2. URBAN,5. SOMALI,02,12,1,1,028,05,4. Small-Scale Trade & Service Provision,9. Professional Occupations,11. Other (Specify),yeqen sira,2. NO,,,,,,1. YES,1. Rural Areas,9. Professional Occupations,,,2. NO,,
050213088801502,1. RURAL,5. SOMALI,02,13,8,88,015,02,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050301088800706,2. URBAN,5. SOMALI,03,01,8,88,007,06,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050303088800907,2. URBAN,5. SOMALI,03,03,8,88,009,07,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050304088801205,2. URBAN,5. SOMALI,03,04,8,88,012,05,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050309088800903,2. URBAN,5. SOMALI,03,09,8,88,009,03,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050310010100201,2. URBAN,5. SOMALI,03,10,1,1,002,01,1. Farming,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,,,2. NO,,
050312010101002,2. URBAN,5. SOMALI,03,12,1,1,010,02,4. Small-Scale Trade & Service Provision,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050405088800906,2. URBAN,5. SOMALI,04,05,8,88,009,06,1. Farming,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050405088801501,2. URBAN,5. SOMALI,04,05,8,88,015,01,1. Farming,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050407010100404,2. URBAN,5. SOMALI,04,07,1,1,004,04,4. Small-Scale Trade & Service Provision,,,,2. NO,,,,,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,,,2. NO,,
050408088800501,2. URBAN,5. SOMALI,04,08,8,88,005,01,1. Farming,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050502088800603,2. URBAN,5. SOMALI,05,02,8,88,006,03,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050506088800603,2. URBAN,5. SOMALI,05,06,8,88,006,03,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050511010100602,2. URBAN,5. SOMALI,05,11,1,1,006,02,4. Small-Scale Trade & Service Provision,9. Professional Occupations,"6. Handicraft Production, Small-Scale Industry",,2. NO,,,,,,1. YES,2. Urban Centres,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,2. NO,,
050602088800702,2. URBAN,5. SOMALI,06,02,8,88,007,02,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050604088800604,2. URBAN,5. SOMALI,06,04,8,88,006,04,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050605020100107,2. URBAN,5. SOMALI,06,05,2,1,001,07,1. Farming,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050606088800801,2. URBAN,5. SOMALI,06,06,8,88,008,01,1. Farming,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050610088800304,2. URBAN,5. SOMALI,06,10,8,88,003,04,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050611010100206,2. URBAN,5. SOMALI,06,11,1,1,002,06,4. Small-Scale Trade & Service Provision,"6. Handicraft Production, Small-Scale Industry",9. Professional Occupations,,2. NO,,,,,,1. YES,1. Rural Areas,9. Professional Occupations,,,2. NO,,
050611010101009,2. URBAN,5. SOMALI,06,11,1,1,010,09,4. Small-Scale Trade & Service Provision,7. Transport,,,2. NO,,,,,,1. YES,2. Urban Centres,"6. Handicraft Production, Small-Scale Industry",4. Small-Scale Trade & Service Provision,,2. NO,,
050701088801207,2. URBAN,5. SOMALI,07,01,8,88,012,07,1. Farming,,,,1. YES,35,1. Rural Areas,11. Other (Specify),,water,2. NO,,,,,2. NO,,
050703088800901,2. URBAN,5. SOMALI,07,03,8,88,009,01,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050704088801101,2. URBAN,5. SOMALI,07,04,8,88,011,01,1. Farming,,,,1. YES,25,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
050706010100201,2. URBAN,5. SOMALI,07,06,1,1,002,01,1. Farming,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050707088800603,2. URBAN,5. SOMALI,07,07,8,88,006,03,1. Farming,,,,1. YES,20,3. Outside Ethiopia,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,2. NO,,
050801010100308,2. URBAN,5. SOMALI,08,01,1,1,003,08,1. Farming,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,2. NO,,
050802088801803,2. URBAN,5. SOMALI,08,02,8,88,018,03,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050805088800704,2. URBAN,5. SOMALI,08,05,8,88,007,04,1. Farming,,,,1. YES,30,2. Urban Centres,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,2. NO,,
050807088800305,2. URBAN,5. SOMALI,08,07,8,88,003,05,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
050808088801601,2. URBAN,5. SOMALI,08,08,8,88,016,01,1. Farming,,,,1. YES,10,2. Urban Centres,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,2. NO,,,,,2. NO,,
050901010100102,2. URBAN,5. SOMALI,09,01,1,1,001,02,4. Small-Scale Trade & Service Provision,1. Farming,10. Civil Service,,1. YES,3,2. Urban Centres,"6. Handicraft Production, Small-Scale Industry",9. Professional Occupations,,1. YES,1. Rural Areas,9. Professional Occupations,4. Small-Scale Trade & Service Provision,,2. NO,,
050902088801202,1. RURAL,5. SOMALI,09,02,8,88,012,02,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,40,3. Outside Ethiopia,1. Farming,9. Professional Occupations,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
050905088800202,1. RURAL,5. SOMALI,09,05,8,88,002,02,1. Farming,,,,1. YES,20,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,2. NO,,
