household_id,enterprise_id,ea_id,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq14,s12bq01a,s12bq01b,s12bq01c,s12bq02,s12bq02_os,s12bq03_1,s12bq03_2,s12bq04,s12bq05,s12bq06_1,s12bq06_2,s12bq07_1,s12bq07_2,s12bq07_os,s12bq08a,s12bq08b,s12bq09_1,s12bq09_2,s12bq09_os,s12bq10,s12bq11_1,s12bq11_2,s12bq11_3,s12bq12,s12bq13,s12bq14,s12bq15a1,s12bq15a2_1,s12bq15a2_2,s12bq15a2_3,s12bq15b1,s12bq15b2_1,s12bq15b2_2,s12bq15b2_3,s12bq16,s12bq17a,s12bq17b,s12bq17c,s12bq17d,s12bq17e,s12bq17f,s12bq18,s12bq19,s12bq20,s12bq21,s12bq22,s12bq23,s12bq24,s12bq25_1,s12bq25_2,s12bq25_3,s12bq25_os
010309010100311257,1,010309010100311,2118.4648466085,1. TIGRAY,03,09,1,1,003,11,257,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,,3. WAGE OR SALARY INCOME,,,6. FEBRUARY,2000,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,30,0,2. NO,,,,1. YES,1,,,20000,0. NONE,30000,5000,200,1000,0. NONE,1. YES,200,1. YES,1500,2. NO,,15,11. ELECTRICITY - ACCESS,121. REGISTRATION & PERMITS - TIME AND COST OF REGISTERING ENTERPRISE,131. TAXATION - HIGH TAXES,
010309010100311257,2,010309010100311,2118.4648466085,1. TIGRAY,03,09,1,1,003,11,257,2. URBAN,Handcraft,96. OTHER PERSONAL SERVICE ACTIVITIES,,"1. HOME, INSIDE RESIDENCE",,2,,1. YES,,1,2,2. NON-FARM SELF-EMPLOYMENT INCOME,,,4. DECEMBER,2000,3. TRADERS,,,1. YES,5. JANUARY,,,12,30,0,1. YES,2,,,2. NO,,,,1000,0. NONE,400,5,40,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,0. NONE,11. ELECTRICITY - ACCESS,,,
010405010100123114,1,010405010100123,1235.009122807018,1. TIGRAY,04,05,1,1,001,23,114,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,6. MOBILE,,2,,1. YES,,2,1,1. AGRICULTURAL INCOME,,,2. OCTOBER,2008,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,6. FEBRUARY,7. MARCH,8. APRIL,10,22,0,2. NO,,,,2. NO,,,,2000,0. NONE,200,300,150,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,0. NONE,63. TRANSPORT - COST,,,
010405010100123125,1,010405010100123,1235.009122807018,1. TIGRAY,04,05,1,1,001,23,125,2. URBAN,Labourer,96. OTHER PERSONAL SERVICE ACTIVITIES,,8. CONSTRUCTION SITES,,1,,1. YES,,1,,10. OTHER (SPECIFY),,yale mnm birr,1. SEPTEMBER,2010,7. OTHER (SPECIFY),,le atrafi contractor,1. YES,1. SEPTEMBER,2. OCTOBER,3. NOVEMBER,10,20,5,1. YES,1,,,2. NO,,,,3000,50,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,90,32. WATER - QUALITY,64. TRANSPORT - FACILITIES TO TRANSPORT GOODS,,
010408010100204005,1,010408010100204,1431.961797175867,1. TIGRAY,04,08,1,1,002,04,5,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,3. TRADITIONAL MARKET,,1,2,1. YES,,1,,9. CREADIT AND SAVING ASSOCIATION,2. NON-FARM SELF-EMPLOYMENT INCOME,,5. JANUARY,2008,2. MARKET,,,2. NO,,,,6,15,0,2. NO,,,,1. YES,2,,,3500,0. NONE,2500,0. NONE,150,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,75,13. ELECTRICITY - COST,12. ELECTRICITY - QUALITY,62. TRANSPORT ROAD - QUALITY,
010408010100204018,1,010408010100204,1431.961797175867,1. TIGRAY,04,08,1,1,002,04,18,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,1. AGRICULTURAL INCOME,9. CREADIT AND SAVING ASSOCIATION,,6. FEBRUARY,2009,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,8,18,0,2. NO,,,,1. YES,5,,,450,0. NONE,10000,0. NONE,500,0. NONE,0. NONE,1. YES,800,2. NO,,2. NO,,75,11. ELECTRICITY - ACCESS,13. ELECTRICITY - COST,62. TRANSPORT ROAD - QUALITY,
010408010100204031,1,010408010100204,1431.961797175867,1. TIGRAY,04,08,1,1,002,04,31,2. URBAN,Beauty salon,96. OTHER PERSONAL SERVICE ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,,2. NON-FARM SELF-EMPLOYMENT INCOME,,,5. JANUARY,2005,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,5. JANUARY,6. FEBRUARY,7. MARCH,8,15,0,2. NO,,,,2. NO,,,,2000,0. NONE,0. NONE,2500,270,2000,0. NONE,1. YES,1200,2. NO,,2. NO,,75,11. ELECTRICITY - ACCESS,12. ELECTRICITY - QUALITY,13. ELECTRICITY - COST,
010408010100204096,1,010408010100204,1431.961797175867,1. TIGRAY,04,08,1,1,002,04,96,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,9. OTHER (SPECIFY),keand akebabiy wede liela akebabiy mewsed(menged),1,,1. YES,,1,,2. NON-FARM SELF-EMPLOYMENT INCOME,,,9. MAY,2006,1. LOCAL CONSUMERS OR PASSERS-BY,2. MARKET,,2. NO,,,,8,12,0,2. NO,,,,2. NO,,,,500,0. NONE,10000,5000,1000,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,50,12. ELECTRICITY - QUALITY,13. ELECTRICITY - COST,62. TRANSPORT ROAD - QUALITY,
010408010100204148,1,010408010100204,1431.961797175867,1. TIGRAY,04,08,1,1,002,04,148,2. URBAN,Beauty salon,96. OTHER PERSONAL SERVICE ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,2,1. YES,,1,2,8. PRIVATE MONEYLENDERS,2. NON-FARM SELF-EMPLOYMENT INCOME,,5. JANUARY,2010,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,5. JANUARY,6. FEBRUARY,7. MARCH,8,20,0,2. NO,,,,1. YES,1,2,,500,0. NONE,1080,0. NONE,50,9600,0. NONE,1. YES,1000,2. NO,,2. NO,,75,12. ELECTRICITY - QUALITY,13. ELECTRICITY - COST,32. WATER - QUALITY,
010501088800902009,1,010501088800902,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,9,1. RURAL,Labourer,96. OTHER PERSONAL SERVICE ACTIVITIES,,8. CONSTRUCTION SITES,,1,,1. YES,,1,2,2. NON-FARM SELF-EMPLOYMENT INCOME,,,5. JANUARY,2009,6. GOVERNMENT,,,1. YES,6. FEBRUARY,,,12,5,0,2. NO,,,,2. NO,,,,300,300,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,1,72. FINANCIAL SERVICES - POSSIBILITY TO BORROW FROM FORMAL FINANCIAL INSTITUTIONS,61. TRANSPORT ROAD - ACCESS,,
010501088800902017,1,010501088800902,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,17,1. RURAL,Beauty salon,96. OTHER PERSONAL SERVICE ACTIVITIES,,5. ROADSIDE,,1,,1. YES,,1,,1. AGRICULTURAL INCOME,,,4. DECEMBER,2006,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,25,0,2. NO,,,,2. NO,,,,4000,0. NONE,0. NONE,0. NONE,0. NONE,600,0. NONE,1. YES,164,2. NO,,1. YES,500,50,11. ELECTRICITY - ACCESS,13. ELECTRICITY - COST,12. ELECTRICITY - QUALITY,
010501088800902052,1,010501088800902,178.5610582010582,1. TIGRAY,05,01,8,88,009,02,52,1. RURAL,Selling gold,7. MINING OF METAL ORES,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",7. RIVER/LAKES/PONDS,,1,,2. NO,2,1,,2. NON-FARM SELF-EMPLOYMENT INCOME,,,10. JUNE,2008,3. TRADERS,,,1. YES,8. APRIL,9. MAY,10. JUNE,12,10,0,2. NO,,,,2. NO,,,,500,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,0. NONE,141. NONE,,,
010501088800902068,1,010501088800902,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,68,1. RURAL,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,4. SHOP IN COMMERCIAL AREA,,2,,1. YES,,2,,2. NON-FARM SELF-EMPLOYMENT INCOME,,,7. MARCH,2011,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,4,30,0,2. NO,,,,2. NO,,,,500,0. NONE,0. NONE,0. NONE,0. NONE,300,0. NONE,2. NO,,2. NO,,2. NO,,50,12. ELECTRICITY - QUALITY,,,
010501088800902083,1,010501088800902,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,83,1. RURAL,Civil Servant,78. EMPLOYMENT ACTIVITIES,,9. OTHER (SPECIFY),Office,4,,1. YES,,4,,1. AGRICULTURAL INCOME,,,1. SEPTEMBER,2011,6. GOVERNMENT,,,2. NO,,,,4,30,0,2. NO,,,,2. NO,,,,0,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,50,141. NONE,,,
010501088800902094,1,010501088800902,178.5610582010582,1. TIGRAY,05,01,8,88,009,02,94,1. RURAL,Guard,84. PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,,8. CONSTRUCTION SITES,,1,,1. YES,,1,,1. AGRICULTURAL INCOME,,,6. FEBRUARY,2007,1. LOCAL CONSUMERS OR PASSERS-BY,6. GOVERNMENT,,2. NO,,,,12,30,0,2. NO,,,,2. NO,,,,0,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,25,141. NONE,,,
010501088800902095,1,010501088800902,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,95,1. RURAL,Escawt,78. EMPLOYMENT ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,,1. AGRICULTURAL INCOME,,,3. NOVEMBER,2003,6. GOVERNMENT,,,2. NO,,,,6,15,0,2. NO,,,,2. NO,,,,0,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,1. YES,350,0. NONE,141. NONE,,,
010501088800902107,1,010501088800902,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,107,1. RURAL,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,6. MOBILE,,3,,2. NO,3,3,,1. AGRICULTURAL INCOME,,,4. DECEMBER,2008,3. TRADERS,,,1. YES,3. NOVEMBER,,,1,12,0,2. NO,,,,2. NO,,,,5000,0. NONE,0. NONE,3000,300,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,0. NONE,71. FINANCIAL SERVICES - POSSIBILITY TO BORROW FROM FAMILY,,,
010502020100102036,1,010502020100102,1928.977663671374,1. TIGRAY,05,02,2,1,001,02,36,2. URBAN,Producing and selling local beer,11. MANUFACTURE OF BEVERAGES,,"1. HOME, INSIDE RESIDENCE",,2,,1. YES,,1,2,3. WAGE OR SALARY INCOME,,,8. APRIL,2011,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,2,21,0,2. NO,,,,1. YES,4,,,150,0. NONE,50,25,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,100,81. MARKETS - ACCESS TO MARKETS (DISTANCE AND COST),86. MARKETS - DIFFICULTY TO OBTAIN INPUTS,,
010502020100102058,1,010502020100102,1928.977663671374,1. TIGRAY,05,02,2,1,001,02,58,2. URBAN,Bar,56. FOOD AND BEVERAGE SERVICE ACTIVITIES,,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,5. SALE OF ASSETS,,,4. DECEMBER,2009,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,30,0,2. NO,,,,2. NO,,,,1000,0. NONE,900,0. NONE,10,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,100,11. ELECTRICITY - ACCESS,13. ELECTRICITY - COST,32. WATER - QUALITY,
010502020100102080,1,010502020100102,1928.977663671374,1. TIGRAY,05,02,2,1,001,02,80,2. URBAN,Bar,56. FOOD AND BEVERAGE SERVICE ACTIVITIES,,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,3. WAGE OR SALARY INCOME,,,9. MAY,2007,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,56,0,2. NO,,,,2. NO,,,,1000,0. NONE,500,0. NONE,0. NONE,400,0. NONE,2. NO,,2. NO,,2. NO,,100,141. NONE,,,
010502020100102091,1,010502020100102,1928.977663671374,1. TIGRAY,05,02,2,1,001,02,91,2. URBAN,Jewelery,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,"2. HOME, OUTSIDE RESIDENCE",,1,2,1. YES,,1,2,3. WAGE OR SALARY INCOME,,,5. JANUARY,2006,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,365,0,2. NO,,,,2. NO,,,,80000,0. NONE,5000,5000,144,1200,0. NONE,1. YES,500,1. YES,5000,2. NO,,100,22. TELECOM - QUALITY,,,
010502020100102135,1,010502020100102,1928.977663671374,1. TIGRAY,05,02,2,1,001,02,135,2. URBAN,Producing and selling Enjera,10. MANUFACTURE OF FOOD PRODUCTS,,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,3. WAGE OR SALARY INCOME,,,1. SEPTEMBER,2007,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,30,0,2. NO,,,,2. NO,,,,1500,0. NONE,0. NONE,500,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,100,122. REGISTRATION & PERMITS - TIME AND COST OF OBTAINING ENTERPRISE PERMIT,,,
010502020100102157,1,010502020100102,1928.977663671374,1. TIGRAY,05,02,2,1,001,02,157,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,2,1. AGRICULTURAL INCOME,,,5. JANUARY,1997,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,26,0,2. NO,,,,2. NO,,,,15000,0. NONE,30000,30000,1000,1000,0. NONE,1. YES,140,2. NO,,2. NO,,100,131. TAXATION - HIGH TAXES,,,
010502088801410007,1,010502088801410,1683.857037815126,1. TIGRAY,05,02,8,88,014,10,7,1. RURAL,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,6. MOBILE,,3,,1. YES,,3,,7. FAMILY OR FRIENDS LOCATED IN THIS COMMUNITY,,,4. DECEMBER,2011,2. MARKET,,,2. NO,,,,2,4,0,2. NO,,,,2. NO,,,,400,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,1,141. NONE,,,
010503088800803012,1,010503088800803,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,12,1. RURAL,Bar and Restaurant,56. FOOD AND BEVERAGE SERVICE ACTIVITIES,,"1. HOME, INSIDE RESIDENCE",,2,,1. YES,,2,,1. AGRICULTURAL INCOME,,,2. OCTOBER,2007,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,30,0,2. NO,,,,2. NO,,,,1000,0. NONE,0. NONE,300,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,10,141. NONE,,,
010503088800803052,1,010503088800803,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,52,1. RURAL,Selling Enjera,10. MANUFACTURE OF FOOD PRODUCTS,,"1. HOME, INSIDE RESIDENCE",,2,,1. YES,,2,1,1. AGRICULTURAL INCOME,,,10. JUNE,2009,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,8,15,0,2. NO,,,,2. NO,,,,500,0. NONE,100,0. NONE,60,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,2,63. TRANSPORT - COST,61. TRANSPORT ROAD - ACCESS,22. TELECOM - QUALITY,
010503088800803052,2,010503088800803,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,52,1. RURAL,Bilyardo table game house,93. SPORTS ACTIVITIES AND AMUSEMENT AND RECREATION ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,2,1. YES,,1,2,1. AGRICULTURAL INCOME,,,4. DECEMBER,2010,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,8,20,0,2. NO,,,,2. NO,,,,600,0. NONE,0. NONE,20000,0. NONE,0. NONE,0. NONE,1. YES,300,1. YES,750,2. NO,,2,63. TRANSPORT - COST,64. TRANSPORT - FACILITIES TO TRANSPORT GOODS,62. TRANSPORT ROAD - QUALITY,
010503088800803103,1,010503088800803,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,103,1. RURAL,Selling Enjera,10. MANUFACTURE OF FOOD PRODUCTS,,"1. HOME, INSIDE RESIDENCE",,2,,1. YES,,2,1,1. AGRICULTURAL INCOME,,,10. JUNE,2010,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,11,30,0,2. NO,,,,2. NO,,,,300,0. NONE,200,2000,60,100,0. NONE,2. NO,,2. NO,,2. NO,,10,11. ELECTRICITY - ACCESS,61. TRANSPORT ROAD - ACCESS,63. TRANSPORT - COST,
010503088800803114,1,010503088800803,194.4011520737327,1. TIGRAY,05,03,8,88,008,03,114,1. RURAL,Tea room,56. FOOD AND BEVERAGE SERVICE ACTIVITIES,,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,10. OTHER (SPECIFY),,Ksew yemoyabemsrat,4. DECEMBER,2011,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,4,12,0,2. NO,,,,2. NO,,,,300,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,1,13. ELECTRICITY - COST,21. TELECOM - ACCESS,63. TRANSPORT - COST,
010503088800803117,1,010503088800803,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,117,1. RURAL,Selling Enjera,10. MANUFACTURE OF FOOD PRODUCTS,,"1. HOME, INSIDE RESIDENCE",,2,,1. YES,,2,,1. AGRICULTURAL INCOME,,,10. JUNE,2004,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,6,8,0,2. NO,,,,1. YES,6,3,,300,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,1. YES,200,1. YES,650,2. NO,,1,32. WATER - QUALITY,12. ELECTRICITY - QUALITY,22. TELECOM - QUALITY,
010601010100215004,1,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,4,2. URBAN,Mason,96. OTHER PERSONAL SERVICE ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,2,3. WAGE OR SALARY INCOME,,,3. NOVEMBER,2005,5. NGOS,,,1. YES,5. JANUARY,,,8,30,15,2. NO,,,,1. YES,1,,,0,6000,0. NONE,0. NONE,2500,1200,2000,1. YES,0. NONE,2. NO,,2. NO,,100,92. GOVERNMENT - UNCERTAIN ECONOMIC POLICY,,,
010601010100215026,1,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,26,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,,2. NON-FARM SELF-EMPLOYMENT INCOME,,,3. NOVEMBER,2008,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,9,25,0,2. NO,,,,2. NO,,,,2500,0. NONE,1000,0. NONE,300,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,100,64. TRANSPORT - FACILITIES TO TRANSPORT GOODS,,,
010601010100215048,1,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,48,2. URBAN,Transport service,11. MANUFACTURE OF BEVERAGES,,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,2,9. CREADIT AND SAVING ASSOCIATION,,,4. DECEMBER,2009,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,10,28,0,2. NO,,,,2. NO,,,,0,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,1. YES,2600,1. YES,1800,2. NO,,85,141. NONE,,,
010601010100215048,2,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,48,2. URBAN,officer,"82. OFFICE ADMINISTRATIVE, OFFICE SUPPORT AND OTHER BUSINESS SUPPORT ACTIVITIES",,"2. HOME, OUTSIDE RESIDENCE",,2,,1. YES,,1,2,10. OTHER (SPECIFY),,benesta new yetejemerew,3. NOVEMBER,2011,5. NGOS,,,2. NO,,,,6,26,0,2. NO,,,,2. NO,,,,0,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,15,141. NONE,,,
010601010100215070,1,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,70,2. URBAN,Officer,78. EMPLOYMENT ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,,2. NO,1,1,2,10. OTHER (SPECIFY),,benesta,10. JUNE,2009,1. LOCAL CONSUMERS OR PASSERS-BY,6. GOVERNMENT,,2. NO,,,,12,26,0,2. NO,,,,2. NO,,,,0,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,100,141. NONE,,,
010601010100215092,1,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,92,2. URBAN,Transport service,49. LAND TRANSPORT AND TRANSPORT VIA PIPELINES,,"2. HOME, OUTSIDE RESIDENCE",,2,,2. NO,1,2,,7. FAMILY OR FRIENDS LOCATED IN THIS COMMUNITY,,,7. MARCH,2004,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,28,0,2. NO,,,,2. NO,,,,6000,6000,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,1. YES,13000,2. NO,,2. NO,,0. NONE,62. TRANSPORT ROAD - QUALITY,,,
010601010100215114,1,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,114,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,"1. HOME, INSIDE RESIDENCE",,2,,1. YES,,2,1,3. WAGE OR SALARY INCOME,,,12. AUGUST,2007,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,29,0,2. NO,,,,2. NO,,,,1900,5000,1850,0. NONE,200,300,100,2. NO,,1. YES,1500,2. NO,,65,64. TRANSPORT - FACILITIES TO TRANSPORT GOODS,132. TAXATION - UNOFFICIAL LEVIES,,
010601010100215136,1,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,136,2. URBAN,Mason,96. OTHER PERSONAL SERVICE ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,2,3. WAGE OR SALARY INCOME,,,3. NOVEMBER,2004,5. NGOS,,,2. NO,,,,8,25,3,2. NO,,,,2. NO,,,,0,4000,0. NONE,500,100,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,100,92. GOVERNMENT - UNCERTAIN ECONOMIC POLICY,,,
010601010100215158,1,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,158,2. URBAN,Transport service,49. LAND TRANSPORT AND TRANSPORT VIA PIPELINES,,"2. HOME, OUTSIDE RESIDENCE",,1,2,1. YES,,1,2,3. WAGE OR SALARY INCOME,,,12. AUGUST,2009,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,8,21,1,2. NO,,,,1. YES,1,,,9000,900,0. NONE,0. NONE,0. NONE,0. NONE,5000,1. YES,8000,1. YES,2000,2. NO,,100,140. OTHER (SPECIFY),,,yemekina mebelashet
010601010100215202,1,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,202,2. URBAN,Mason,96. OTHER PERSONAL SERVICE ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,,3. WAGE OR SALARY INCOME,,,6. FEBRUARY,2006,5. NGOS,,,2. NO,,,,12,30,15,2. NO,,,,2. NO,,,,12000,8000,2500,15000,1200,3000,0. NONE,1. YES,0. NONE,1. YES,8000,2. NO,,100,92. GOVERNMENT - UNCERTAIN ECONOMIC POLICY,,,
010601010100215224,1,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,224,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,,10. OTHER (SPECIFY),,kegl  capital,9. MAY,2004,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,8,20,0,2. NO,,,,2. NO,,,,5000,0. NONE,400,200,350,0. NONE,0. NONE,1. YES,0. NONE,1. YES,345,2. NO,,100,141. NONE,,,
010601010100215246,1,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,246,2. URBAN,Transport service,49. LAND TRANSPORT AND TRANSPORT VIA PIPELINES,,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,2,3. WAGE OR SALARY INCOME,,,5. JANUARY,2008,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,8,25,1,2. NO,,,,2. NO,,,,0,2000,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,1. YES,2500,1. YES,2000,2. NO,,60,141. NONE,,,
010601010100215290,1,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,290,2. URBAN,Internet service and maintainance,63. INFORMATION SERVICE ACTIVITIES,95. REPAIR OF COMPUTERS AND PERSONAL AND HOUSEHOLD GOODS,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,2,3. WAGE OR SALARY INCOME,,,6. FEBRUARY,2010,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,26,1,2. NO,,,,2. NO,,,,0,2500,0. NONE,0. NONE,0. NONE,5000,0. NONE,1. YES,1200,1. YES,2700,2. NO,,75,11. ELECTRICITY - ACCESS,,,
010601010100215312,1,010601010100215,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,312,2. URBAN,Teller,78. EMPLOYMENT ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,2,1. YES,,1,2,10. OTHER (SPECIFY),,benesta,3. NOVEMBER,1997,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,26,0,2. NO,,,,2. NO,,,,0,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,1. YES,0. NONE,2. NO,,2. NO,,50,141. NONE,,,
