ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs6q01,cs6q02,cs6q03_1,cs6q03_2,cs6q03_3,cs6q04_1,cs6q04_2,cs6q04_3,cs6q05,cs6q06,cs6q07,cs6q08,cs6q09,cs6q10,cs6q11,cs6q12,cs6q12_os,cs6q13,cs6q13_os,cs6q14,cs6q14_os,cs6q14a,cs6q14b,cs6q14c,cs6q15,cs6q15_os,cs6q16a,cs6q16a_os,cs6q16b,cs6q16b_os,cs6q16c,cs6q16c_os,cs6q16d,cs6q16d_os,cs6q17a,cs6q17a_os,cs6q17b,cs6q17b_os,cs6q17c,cs6q17c_os,cs6q17d,cs6q17d_os,cs6q18a,cs6q18a_os,cs6q18b,cs6q18b_os,cs6q18c,cs6q18c_os,cs6q18d,cs6q18d_os,cs6q18e,cs6q18e_os,cs6q18f,cs6q18f_os,cs6q18g,cs6q18g_os,cs6q18h,cs6q18h_os
020203088800202,1. RURAL,2. AFAR,02,03,8,88,002,02,1. YES,Bekolo,1,2,,7,6,,3. Too Late,3. Too Late,3. Too Late,1. YES,,2. NO,,4. Other (Specify),Akrabi Yelem,4. Other (Specify),Akrabi Yelem,4. Other (Specify),Akrabi Yelem,2. NO,2. NO,2. NO,1. Traditional,,"9. Not Applicable, explain",Akrabi Yelem,"9. Not Applicable, explain",Akrabi Yelem,"9. Not Applicable, explain",Yelem,"9. Not Applicable, explain",Akrabi Yelem,3. About the Same,,3. About the Same,,1. Much Worse,,3. About the Same,,1. Much Worse,,2. Worse,,2. Worse,,1. Much Worse,,4. Better,,2. Worse,,1. Much Worse,,2. Worse,
020203088800905,1. RURAL,2. AFAR,02,03,8,88,009,05,1. YES,yelem,,,,,,,3. Too Late,3. Too Late,1. Very early,2. NO,25,2. NO,,4. Other (Specify),yelem,4. Other (Specify),yelem,4. Other (Specify),yelem,2. NO,2. NO,2. NO,3. Other (Specify),makemacha yelem,"9. Not Applicable, explain",madeberya yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,3. About the Same,,3. About the Same,,9. Not Applicable,seble yelem,9. Not Applicable,seble yelem,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,
020205088800207,1. RURAL,2. AFAR,02,05,8,88,002,07,1. YES,Seble Ayamertum,,,,,,,3. Too Late,3. Too Late,1. Very early,1. YES,,2. NO,,4. Other (Specify),Seble Ayamertum,4. Other (Specify),Seble Ayamertum,4. Other (Specify),Seble Ayamertum,2. NO,2. NO,2. NO,3. Other (Specify),Seble Ayamertum,"9. Not Applicable, explain",Seble Ayamertum,"9. Not Applicable, explain",Seble Ayamertum,"9. Not Applicable, explain",Seble Ayamertum,"9. Not Applicable, explain",Seble Ayamertum,"9. Not Applicable, explain",Seble Ayamertum,3. About the Same,,3. About the Same,,4. Better,,9. Not Applicable,Seble Ayamertum,9. Not Applicable,Seble Ayamertum,1. Much Worse,,1. Much Worse,,3. About the Same,,1. Much Worse,,2. Worse,,4. Better,
020205088800715,1. RURAL,2. AFAR,02,05,8,88,007,15,1. YES,seble yelem,,,,,,,3. Too Late,3. Too Late,1. Very early,2. NO,45,2. NO,,4. Other (Specify),yelem,4. Other (Specify),yelem,4. Other (Specify),yelem,2. NO,2. NO,2. NO,3. Other (Specify),seble yelem,"9. Not Applicable, explain",seble yelem,"9. Not Applicable, explain",seble yelem,"9. Not Applicable, explain",seble yelem,"9. Not Applicable, explain",seble yelem,"9. Not Applicable, explain",seble yelem,3. About the Same,,3. About the Same,,3. About the Same,,9. Not Applicable,seble yelem,9. Not Applicable,seble yelem,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,9. Not Applicable,seble yelem,3. About the Same,
020206088800113,1. RURAL,2. AFAR,02,06,8,88,001,13,1. YES,Bekolo :Sende: Gebse,10,11,12,6,7,5,2. The Right Amount,3. Too Late,3. Too Late,1. YES,,1. YES,300,4. Other (Specify),Akrabi Yelem,4. Other (Specify),Akrabi Yelem,4. Other (Specify),Akrabi Yelem,2. NO,2. NO,2. NO,1. Traditional,,"9. Not Applicable, explain",Akrabi Yelem,"9. Not Applicable, explain",Akrabi Yelem,"9. Not Applicable, explain",Akrabi Yelem,"9. Not Applicable, explain",Akrabi Yelem,4. Better,,4. Better,,3. About the Same,,3. About the Same,,2. Worse,,3. About the Same,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,2. Worse,,4. Better,
020206088800803,1. RURAL,2. AFAR,02,06,8,88,008,03,1. YES,bekolo,2,7,,5,10,,3. Too Late,3. Too Late,1. Very early,1. YES,,1. YES,320,4. Other (Specify),madaberia yelem,1. Government,,1. Government,,1. YES,2. NO,2. NO,1. Traditional,,"9. Not Applicable, explain",madaberia yelem,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,3. About the Same,,4. Better,,4. Better,,4. Better,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,
020206088801304,1. RURAL,2. AFAR,02,06,8,88,013,04,1. YES,bekolo,11,,,3,,,2. The Right Amount,2. Right time,2. Right time,1. YES,,2. NO,,4. Other (Specify),madaberia yelem,1. Government,,1. Government,,1. YES,2. NO,2. NO,1. Traditional,,"9. Not Applicable, explain",madeberya yelem,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,3. About the Same,,4. Better,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,
020207010100104,2. URBAN,2. AFAR,02,07,1,1,001,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020301020100111,2. URBAN,2. AFAR,03,01,2,1,001,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020301088800303,1. RURAL,2. AFAR,03,01,8,88,003,03,1. YES,Bekolo Shinkurt Timatim,2,3,4,4,6,5,1. Too Much,2. Right time,1. Very early,1. YES,,1. YES,500,1. Government,,1. Government,,1. Government,,1. YES,2. NO,2. NO,1. Traditional,,2. Less,,2. Less,,2. Less,,2. Less,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,
020302088800306,1. RURAL,2. AFAR,03,02,8,88,003,06,1. YES,Shinkurt Timatim ; Habehb,1,,,4,5,,2. The Right Amount,3. Too Late,1. Very early,1. YES,,1. YES,100,3. Union,,3. Union,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,3. About the Same Number,,1. More,,1. More,,3. About the Same Number,,4. Better,,3. About the Same,,3. About the Same,,4. Better,,5. Much Better,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,,2. Worse,,3. About the Same,,3. About the Same,
020303020100103,2. URBAN,2. AFAR,03,03,2,1,001,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020303088800501,1. RURAL,2. AFAR,03,03,8,88,005,01,1. YES,Bekolo ; Shenkurt ; Timatim,10,8,9,1,2,11,2. The Right Amount,2. Right time,1. Very early,1. YES,,1. YES,180,2. Private,,1. Government,,1. Government,,1. YES,2. NO,2. NO,1. Traditional,,2. Less,,1. More,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,2. Worse,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,
020304088800703,1. RURAL,2. AFAR,03,04,8,88,007,03,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020305010100306,2. URBAN,2. AFAR,03,05,1,1,003,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020305010100601,2. URBAN,2. AFAR,03,05,1,1,006,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020306088800903,1. RURAL,2. AFAR,03,06,8,88,009,03,1. YES,Mashela ; Teff ; Masho,10,11,,1,2,3,1. Too Much,3. Too Late,3. Too Late,1. YES,,2. NO,,1. Government,,2. Private,,1. Government,,1. YES,2. NO,2. NO,1. Traditional,,2. Less,,2. Less,,3. About the Same Number,,3. About the Same Number,,2. Worse,,2. Worse,,2. Worse,,2. Worse,,2. Worse,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,5. Much Better,,3. About the Same,
020401088800602,1. RURAL,2. AFAR,04,01,8,88,006,02,1. YES,0,,,,,,,3. Too Late,3. Too Late,1. Very early,1. YES,,2. NO,,4. Other (Specify),aytekemum,,,,,2. NO,2. NO,2. NO,1. Traditional,,"9. Not Applicable, explain",Madaberiya aytekemum,"9. Not Applicable, explain",##N/A##,"9. Not Applicable, explain",##N/A##,"9. Not Applicable, explain",##N/A##,3. About the Same,,2. Worse,,2. Worse,,2. Worse,,2. Worse,,9. Not Applicable,##N/A##,2. Worse,,3. About the Same,,2. Worse,,2. Worse,,2. Worse,,2. Worse,
020403010100102,2. URBAN,2. AFAR,04,03,1,1,001,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020403088800302,1. RURAL,2. AFAR,04,03,8,88,003,02,1. YES,seble yelem,2,,,4,,,3. Too Late,3. Too Late,3. Too Late,1. YES,,2. NO,,1. Government,,1. Government,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,"9. Not Applicable, explain",seble yelem,"9. Not Applicable, explain",seble yelem,"9. Not Applicable, explain",seble yelem,"9. Not Applicable, explain",seble yelem,"9. Not Applicable, explain",seble yelem,3. About the Same,,3. About the Same,,3. About the Same,,9. Not Applicable,seble yelem,9. Not Applicable,seble yelem,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,
020404088800501,1. RURAL,2. AFAR,04,04,8,88,005,01,1. YES,seble yelem,,,,,,,3. Too Late,3. Too Late,1. Very early,1. YES,,2. NO,,4. Other (Specify),madaberia yelem,4. Other (Specify),seble yelem,4. Other (Specify),seble yelem,2. NO,2. NO,2. NO,3. Other (Specify),seble yelem,"9. Not Applicable, explain",seble yelem,"9. Not Applicable, explain",seble yelem,"9. Not Applicable, explain",seble yelem,"9. Not Applicable, explain",seble yelem,"9. Not Applicable, explain",seble yelem,3. About the Same,,3. About the Same,,4. Better,,9. Not Applicable,seble yelem,9. Not Applicable,seble yelem,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,
020405088800405,1. RURAL,2. AFAR,04,05,8,88,004,05,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020501088800601,1. RURAL,2. AFAR,05,01,8,88,006,01,1. YES,sebl aymeratbetm,11,,,2,,,2. The Right Amount,2. Right time,1. Very early,1. YES,,2. NO,,4. Other (Specify),madaberiya aytekemum,1. Government,,4. Other (Specify),mirt zer ayesetim,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,4. Better,
020502088800303,1. RURAL,2. AFAR,05,02,8,88,003,03,1. YES,be kebelew sebl aymeratbetm,,,,,,,3. Too Late,2. Right time,2. Right time,1. YES,,2. NO,,4. Other (Specify),Sebil slemayemeret  madaberiya,4. Other (Specify),ke n.g.o yagegnalu,4. Other (Specify),sebil slemayemeret  mirt zer ayasfelgewum,2. NO,2. NO,2. NO,3. Other (Specify),sebil slemayemeret mirt,"9. Not Applicable, explain",sebil slemayemeret mirt Ayemeretim,"9. Not Applicable, explain",sebil slemayemeret mirt Ayemeretim,"9. Not Applicable, explain",sebil slemayemeret madaberiya,3. About the Same Number,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,
020502088801101,1. RURAL,2. AFAR,05,02,8,88,011,01,1. YES,sebil ayemeretim,,,,,,,2. The Right Amount,2. Right time,2. Right time,2. NO,25,2. NO,,4. Other (Specify),ersha slelele madaberiya aytekemum,4. Other (Specify),tebay matifiya yelem,4. Other (Specify),sebilaymeretim zero ayasfelgim,2. NO,2. NO,2. NO,3. Other (Specify),slemayamertu makemacha yelem,"9. Not Applicable, explain",sebil slemayemeret madaberiya ayetekemum,"9. Not Applicable, explain",ayemeleketewum,"9. Not Applicable, explain",sebilaymeretim,"9. Not Applicable, explain",arem matifiya ayasfelgm,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,5. Much Better,,3. About the Same,,3. About the Same,,3. About the Same,
020503010100101,2. URBAN,2. AFAR,05,03,1,1,001,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020504088800505,1. RURAL,2. AFAR,05,04,8,88,005,05,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020504088801102,1. RURAL,2. AFAR,05,04,8,88,011,02,1. YES,sebil ayemeretim,,,,,,,2. The Right Amount,2. Right time,2. Right time,2. NO,60,2. NO,,4. Other (Specify),Aymeleketwim,4. Other (Specify),Aymeleketwim,4. Other (Specify),Aymeleketwim,2. NO,2. NO,2. NO,3. Other (Specify),sebil ayemeretim,"9. Not Applicable, explain",sebil ayemeretim,"9. Not Applicable, explain",sebil ayemeretim,"9. Not Applicable, explain",sebil ayemeretim,"9. Not Applicable, explain",sebil ayemeretim,"9. Not Applicable, explain",sebil ayemeretim,3. About the Same,,3. About the Same,,3. About the Same,,9. Not Applicable,sebil ayemeretim,9. Not Applicable,sebil  ayemeretim,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,
020601010100306,2. URBAN,2. AFAR,06,01,1,1,003,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020601010100330,2. URBAN,2. AFAR,06,01,1,1,003,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030103088803101,1. RURAL,3. AMHARA,01,03,8,88,031,01,1. YES,07. 06. 01,9,10,11,2,3,4,2. The Right Amount,3. Too Late,1. Very early,1. YES,,1. YES,538,3. Union,,3. Union,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,1. More,,1. More,,3. About the Same Number,,3. About the Same Number,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,4. Better,,4. Better,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,
030106088801805,1. RURAL,3. AMHARA,01,06,8,88,018,05,1. YES,01.   08.  13.,9,10,8,3,4,5,1. Too Much,3. Too Late,3. Too Late,1. YES,,1. YES,11,1. Government,,2. Private,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same,,2. Worse,,3. About the Same,,2. Worse,,3. About the Same,,2. Worse,,2. Worse,,3. About the Same,,2. Worse,,4. Better,,4. Better,,4. Better,
030202088802410,1. RURAL,3. AMHARA,02,02,8,88,024,10,1. YES,Ruz=05   Shimbra=11   Bekolo=02,10,1,,3,2,5,2. The Right Amount,1. Very early,1. Very early,1. YES,,1. YES,50,2. Private,,2. Private,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,2. Less,,2. Less,,3. About the Same Number,,2. Less,,4. Better,,4. Better,,4. Better,,4. Better,,2. Worse,,4. Better,,4. Better,,4. Better,,4. Better,,2. Worse,,4. Better,,4. Better,
030206010100105,2. URBAN,3. AMHARA,02,06,1,1,001,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030206088800908,1. RURAL,3. AMHARA,02,06,8,88,009,08,1. YES,Sindie=08   Tief=07   KeyBolekie=19,10,11,,2,3,4,2. The Right Amount,2. Right time,1. Very early,1. YES,,1. YES,110,3. Union,,3. Union,,3. Union,,2. NO,2. NO,2. NO,1. Traditional,,1. More,,1. More,,1. More,,1. More,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,3. About the Same,
030209088803514,1. RURAL,3. AMHARA,02,09,8,88,035,14,1. YES,Bekolo=02   KeyBolekie=19    Tef=07,9,11,10,3,2,,3. Too Late,3. Too Late,3. Too Late,1. YES,,1. YES,150,3. Union,,2. Private,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,1. More,,2. Less,,3. About the Same Number,,2. Less,,2. Worse,,2. Worse,,3. About the Same,,2. Worse,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,4. Better,
030214020100104,2. URBAN,3. AMHARA,02,14,2,1,001,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030303088800803,1. RURAL,3. AMHARA,03,03,8,88,008,03,1. YES,01 08  14,10,9,11,4,3,2,1. Too Much,2. Right time,1. Very early,1. YES,,1. YES,587,3. Union,,1. Government,,3. Union,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,3. About the Same,,2. Worse,,4. Better,
030307088802601,1. RURAL,3. AMHARA,03,07,8,88,026,01,1. YES,06   07   01,8,9,10,2,4,3,2. The Right Amount,3. Too Late,1. Very early,1. YES,,1. YES,172,3. Union,,2. Private,,3. Union,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,
030309010100310,2. URBAN,3. AMHARA,03,09,1,1,003,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030312088800504,1. RURAL,3. AMHARA,03,12,8,88,005,04,1. YES,gebse   Senda   Bakala,10,11,9,3,4,2,2. The Right Amount,2. Right time,1. Very early,1. YES,,1. YES,150,1. Government,,2. Private,,1. Government,,1. YES,1. YES,1. YES,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,3. About the Same,,4. Better,
030401088801512,1. RURAL,3. AMHARA,04,01,8,88,015,12,1. YES,07/08/19,10,11,,2,4,3,3. Too Late,3. Too Late,1. Very early,1. YES,,1. YES,30,3. Union,,3. Union,,3. Union,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,4. Better,,5. Much Better,,2. Worse,,2. Worse,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,4. Better,,3. About the Same,
030404088801907,1. RURAL,3. AMHARA,04,04,8,88,019,07,1. YES,Tefa,11,,,3,,,2. The Right Amount,2. Right time,2. Right time,1. YES,,2. NO,,3. Union,,3. Union,,3. Union,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,3. About the Same,,2. Worse,,3. About the Same,,4. Better,,4. Better,,3. About the Same,
030409010100102,2. URBAN,3. AMHARA,04,09,1,1,001,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030409088800307,1. RURAL,3. AMHARA,04,09,8,88,003,07,1. YES,01,9,10,11,2,3,4,2. The Right Amount,1. Very early,2. Right time,1. YES,,2. NO,,3. Union,,3. Union,,1. Government,,1. YES,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,
030412088800503,1. RURAL,3. AMHARA,04,12,8,88,005,03,1. YES,08_07_16,11,10,12,4,5,6,2. The Right Amount,3. Too Late,1. Very early,1. YES,,1. YES,502,3. Union,,3. Union,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,2. Worse,,2. Worse,,4. Better,,4. Better,,4. Better,,4. Better,
030416088801301,1. RURAL,3. AMHARA,04,16,8,88,013,01,1. YES,07_08_11,11,12,1,5,4,6,2. The Right Amount,2. Right time,3. Too Late,1. YES,,1. YES,104,3. Union,,3. Union,,3. Union,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,3. About the Same,,4. Better,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,
030421010100402,2. URBAN,3. AMHARA,04,21,1,1,004,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030505088800505,1. RURAL,3. AMHARA,05,05,8,88,005,05,1. YES,Gebs Bakila Miser,9,8,,3,2,,2. The Right Amount,2. Right time,2. Right time,1. YES,,1. YES,642,3. Union,,3. Union,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,1. More,,3. About the Same Number,,1. More,,1. More,,4. Better,,4. Better,,2. Worse,,5. Much Better,,3. About the Same,,3. About the Same,,2. Worse,,4. Better,,4. Better,,4. Better,,2. Worse,,4. Better,
030512088800206,1. RURAL,3. AMHARA,05,12,8,88,002,06,1. YES,"07,06,09,",11,8,9,4,3,,3. Too Late,1. Very early,1. Very early,1. YES,,1. YES,980,3. Union,,1. Government,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,1. More,,1. More,,5. Much Better,,5. Much Better,,5. Much Better,,5. Much Better,,2. Worse,,2. Worse,,5. Much Better,,2. Worse,,4. Better,,5. Much Better,,1. Much Worse,,3. About the Same,
030519088801304,1. RURAL,3. AMHARA,05,19,8,88,013,04,1. YES,"07,08,14",11,1,,4,3,,1. Too Much,1. Very early,2. Right time,1. YES,,1. YES,413,3. Union,,2. Private,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,1. More,,1. More,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,2. Worse,,4. Better,,4. Better,,4. Better,,2. Worse,,4. Better,
030526010100201,2. URBAN,3. AMHARA,05,26,1,1,002,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030602088802210,1. RURAL,3. AMHARA,06,02,8,88,022,10,1. YES,Bekolo. tefe. boloke,9,10,11,3,4,2,2. The Right Amount,2. Right time,2. Right time,1. YES,,2. NO,,3. Union,,2. Private,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,1. More,,1. More,,2. Worse,,2. Worse,,3. About the Same,,4. Better,,3. About the Same,,4. Better,,4. Better,,2. Worse,,4. Better,,3. About the Same,,2. Worse,,3. About the Same,
030606088800202,1. RURAL,3. AMHARA,06,06,8,88,002,02,1. YES,Sendie:08 =Gebse:01=Dench:60,10,11,,3,4,,2. The Right Amount,3. Too Late,1. Very early,1. YES,,1. YES,200,3. Union,,2. Private,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,1. More,,1. More,,3. About the Same,,3. About the Same,,2. Worse,,2. Worse,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,4. Better,,4. Better,,2. Worse,,4. Better,
030610010100110,2. URBAN,3. AMHARA,06,10,1,1,001,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030610088800708,1. RURAL,3. AMHARA,06,10,8,88,007,08,1. YES,sende :8=gebse:1=dench:60,7,10,,4,11,,2. The Right Amount,2. Right time,2. Right time,1. YES,,1. YES,749,3. Union,,2. Private,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,1. More,,1. More,,1. More,,1. More,,1. Much Worse,,1. Much Worse,,4. Better,,4. Better,,4. Better,,3. About the Same,,4. Better,,4. Better,,4. Better,,3. About the Same,,2. Worse,,4. Better,
030614088801003,1. RURAL,3. AMHARA,06,14,8,88,010,03,1. YES,Teff :   07  =Mashelae:   06   =Guaye :60,1,8,11,4,5,6,2. The Right Amount,2. Right time,1. Very early,1. YES,,1. YES,451,3. Union,,2. Private,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,1. More,,1. More,,1. More,,3. About the Same Number,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,5. Much Better,,4. Better,,2. Worse,,4. Better,
030616010100207,2. URBAN,3. AMHARA,06,16,1,1,002,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030701088800919,1. RURAL,3. AMHARA,07,01,8,88,009,19,1. YES,"Dagusa03,Bekolo02,Gowaya16",10,11,,3,4,5,3. Too Late,1. Very early,2. Right time,1. YES,,1. YES,250,3. Union,,2. Private,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,2. Less,,3. About the Same Number,,1. More,,1. More,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,2. Worse,,4. Better,,4. Better,,4. Better,,4. Better,,2. Worse,,2. Worse,,4. Better,
030703088802911,1. RURAL,3. AMHARA,07,03,8,88,029,11,1. YES,denche  gebse  Bekolo,7,8,9,5,4,,2. The Right Amount,3. Too Late,3. Too Late,1. YES,,1. YES,150,3. Union,,2. Private,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,2. Less,,3. About the Same Number,,1. More,,1. More,,5. Much Better,,5. Much Better,,4. Better,,5. Much Better,,5. Much Better,,5. Much Better,,5. Much Better,,5. Much Better,,5. Much Better,,4. Better,,1. Much Worse,,5. Much Better,
030706010100103,2. URBAN,3. AMHARA,07,06,1,1,001,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
