holder_id,household_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,saq15,s7q01,s7q02,s7q03,s7q03_os,s7q04,s7q05,s7q05_os,s7q06,s7q07,s7q07_os,s7q08,s7q08_os,s7q09,s7q10,s7q10_os,s7q11_1,s7q11_2,s7q11_os,s7q12,s7q13,s7q13_os,s7q14,s7q15,s7q15_os,s7q16,s7q16_os,s7q17,s7q18,s7q18_os,s7q19,s7q20,s7q21,s7q22,s7q23,s7q24,s7q25,s7q26,s7q27,s7q28_1,s7q28_2,s7q28_os,s7q29,s7q30,s7q31_1,s7q31_2,s7q31_3,s7q31_os,s7q32a_1,s7q32a_2,s7q32b_1,s7q32b_2,s7q32c_1,s7q32c_2
03041208880050309401,030412088800503094,030412088800503,1. RURAL,8027.051033591732,3. AMHARA,04,12,8,88,005,03,94,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,0,1. BY RENTING OX,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,164,0,64,100,0,,64,100,,,,,1. YES,10,1. TERRACING,3. CONSERVATION ACTIVITIES,,,0,,0,,0,
03041208880050310501,030412088800503105,030412088800503,1. RURAL,8027.051033591732,3. AMHARA,04,12,8,88,005,03,105,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,87,0,29,58,0,,29,58,,,,,2. NO,,,,,,0,,0,,0,
03041608880130101101,030416088801301011,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,11,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,6. OTHERS(SPECIFY),I don't Need credit / I have adequate money,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,200,0,100,100,0,,100,100,,,,,1. YES,30,1. TERRACING,,,,0,,0,,0,
03041608880130102701,030416088801301027,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,27,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,1. NON-AVAILABILITY OF THE SERVICE,,1. YES,,,4. COOPERATIVE,,,2,,,3,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,100,0,50,50,0,,50,50,,,,,1. YES,30,1. TERRACING,,,,0,,0,,0,
03041608880130104301,030416088801301043,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,43,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,2. NO,5. OTHERS(SPECIFY),I can't walk to the service area,6. NEVER USED FERTILIZER,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,1,0,1,0,0,,1,,,,,,2. NO,,,,,,0,,0,,0,
03041608880130106001,030416088801301060,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,60,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,6. OTHERS(SPECIFY),I don't Need credit / I have adequate money,1. YES,,,4. COOPERATIVE,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,50,0,25,25,0,,25,25,,,,,1. YES,30,1. TERRACING,,,,0,,0,,4,1. GRAM
03041608880130107601,030416088801301076,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,76,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,3. INADEQUATE SERVICE PROVIDED,,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,100,0,50,50,0,,28,28,,3. I SOLD IT,,,1. YES,30,1. TERRACING,,,,0,,0,,0,
03041608880130109201,030416088801301092,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,92,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,2. NO,1. NON-AVAILABILITY OF THE SERVICE,,4. COOPERATIVE,,,1,3. BY PAIRING MINE W/OTHER ANIMAL,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,100,0,50,50,0,,50,50,,,,,1. YES,30,1. TERRACING,,,,0,,0,,0,
03041608880130110901,030416088801301109,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,109,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,6. OTHERS(SPECIFY),I don't Need credit / I have adequate money,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,100,0,50,50,0,,50,50,,,,,1. YES,30,1. TERRACING,,,,0,,0,,0,
030416088801301113.a,030416088801301113,030416088801301,1. RURAL,3153.484334625323,3. AMHARA,04,16,8,88,013,01,113,,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03041608880130112801,030416088801301128,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,128,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,1. NON-AVAILABILITY OF THE SERVICE,,2. NO,2. INADEQUATE SERVICE PROVIDED,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,100,0,50,50,0,,50,50,,,,,1. YES,30,1. TERRACING,,,,0,,0,,0,
03041608880130114501,030416088801301145,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,145,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,3. INADEQUATE SERVICE PROVIDED,,2. NO,1. NON-AVAILABILITY OF THE SERVICE,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,100,0,50,50,0,,50,50,,,,,1. YES,30,1. TERRACING,,,,0,,0,,0,
03041608880130116201,030416088801301162,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,162,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,1,3. BY PAIRING MINE W/OTHER ANIMAL,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,100,0,50,50,0,,50,50,,,,,1. YES,30,1. TERRACING,,,,0,,0,,0,
03041608880130117400,030416088801301174,030416088801301,1. RURAL,3153.484334625323,3. AMHARA,04,16,8,88,013,01,174,0,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03050508880050501001,030505088800505010,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,10,1,3. Both livestock and crop production,2. NO,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,75,0,25,0,50,,25,,50,,,,2. NO,,,,,,0,,0,,0,
03050508880050502001,030505088800505020,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,20,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,1. YES,3. Non Government financial institute,,,,1. YES,,,4. COOPERATIVE,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,50,0,0,0,50,,,,50,,,,1. YES,28,1. TERRACING,5. ROAD CONSTRUCTION,8. TRENCHES,,0,,0,,0,
03050508880050502002,030505088800505020,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,20,2,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03050508880050503001,030505088800505030,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,30,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,150,0,50,0,100,,50,,100,,,,1. YES,25,1. TERRACING,4. PREPARING WATER HARVESTING  PITS,8. TRENCHES,,0,,0,,0,
03050508880050504001,030505088800505040,030505088800505,1. RURAL,724.2452060383517,3. AMHARA,05,05,8,88,005,05,40,1,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03050508880050504101,030505088800505041,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,41,1,1. crop production only,1. YES,2. NO,4. NON-AVAILABILITY OF SUPPLY,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,6. NEVER USED FERTILIZER,,,0,5. DIGGING,,0,6. Four-wheel Tractor with ploughs,,1. By beating with stick/ separate with hand,,2. NO,,,0,0,0,0,0,,,,,,,,2. NO,,,,,,0,,0,,0,
03050508880050505101,030505088800505051,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,51,1,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03050508880050506101,030505088800505061,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,61,1,3. Both livestock and crop production,2. NO,1. YES,,,1. YES,,,1. YES,4. COOPERATIVE,,,,1. YES,,,4. COOPERATIVE,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,70,0,25,0,45,,25,,45,,,,2. NO,,,,,,0,,0,,0,
03050508880050507101,030505088800505071,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,71,1,3. Both livestock and crop production,2. NO,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,75,0,25,0,50,,25,,50,,,,1. YES,25,1. TERRACING,4. PREPARING WATER HARVESTING  PITS,8. TRENCHES,,0,,0,,0,
03050508880050508101,030505088800505081,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,81,1,3. Both livestock and crop production,2. NO,2. NO,7. OTHERS(SPECIFY),Because I have shared cropped out,2. NO,2. LACK OF MONEY,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,6. NEVER USED FERTILIZER,,,0,5. DIGGING,,0,6. Four-wheel Tractor with ploughs,,1. By beating with stick/ separate with hand,,2. NO,,,0,0,0,0,0,,,,,,,,2. NO,,,,,,0,,0,,0,
03050508880050509101,030505088800505091,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,91,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,1,1. BY RENTING OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,50,0,0,0,50,,,,50,,,,1. YES,25,1. TERRACING,5. ROAD CONSTRUCTION,8. TRENCHES,,0,,0,,0,
03050508880050510101,030505088800505101,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,101,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,400,0,0,0,400,,,,400,,,,1. YES,25,1. TERRACING,3. CONSERVATION ACTIVITIES,8. TRENCHES,,0,,0,,0,
03051208880020600501,030512088800206005,030512088800206,1. RURAL,536.1295681063123,3. AMHARA,05,12,8,88,002,06,5,1,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03051208880020600901,030512088800206009,030512088800206,1. RURAL,7505.813953488373,3. AMHARA,05,12,8,88,002,06,9,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,1. NON-AVAILABILITY OF THE SERVICE,,1. YES,,,3. MERCHANTS,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,50,0,50,0,0,,50,,,,,,1. YES,30,1. TERRACING,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,,0,,0,,4,1. GRAM
03051208880020602101,030512088800206021,030512088800206,1. RURAL,7505.813953488373,3. AMHARA,05,12,8,88,002,06,21,1,3. Both livestock and crop production,1. YES,2. NO,7. OTHERS(SPECIFY),Used Organic fertilizer,2. NO,5. LACK OF ADEQUATE CROP FIELD,,2. NO,,,2. UNABLE TO PAY THE LOAN,,2. NO,3. IGNORANCE,,6. NEVER USED FERTILIZER,,,0,6. USING BORROWED OXEN,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,0,0,0,0,0,,,,,,,,2. NO,,,,,,0,,0,,0,
03051208880020603301,030512088800206033,030512088800206,1. RURAL,7505.813953488373,3. AMHARA,05,12,8,88,002,06,33,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,3. MERCHANTS,4. COOPERATIVE,,0,6. USING BORROWED OXEN,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,61,0,11,0,50,,11,,11,3. I SOLD IT,,,2. NO,,,,,,0,,0,,8,1. GRAM
03051208880020604501,030512088800206045,030512088800206,1. RURAL,7505.813953488373,3. AMHARA,05,12,8,88,002,06,45,1,3. Both livestock and crop production,1. YES,2. NO,7. OTHERS(SPECIFY),Small land size/ Shortage of crop land,2. NO,5. LACK OF ADEQUATE CROP FIELD,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,6. NEVER USED FERTILIZER,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,0,0,0,0,0,,,,,,,,2. NO,,,,,,0,,0,,0,
03051208880020605701,030512088800206057,030512088800206,1. RURAL,7505.813953488373,3. AMHARA,05,12,8,88,002,06,57,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,2. NO,3. IGNORANCE,,4. COOPERATIVE,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,100,0,50,0,50,,50,,50,,,,1. YES,15,1. TERRACING,,,,0,,0,,10,1. GRAM
03051208880020606901,030512088800206069,030512088800206,1. RURAL,7505.813953488373,3. AMHARA,05,12,8,88,002,06,69,1,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03051208880020608101,030512088800206081,030512088800206,1. RURAL,7505.813953488373,3. AMHARA,05,12,8,88,002,06,81,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,1. NON-AVAILABILITY OF THE SERVICE,,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,200,0,100,0,100,,100,,100,,,,1. YES,24,1. TERRACING,3. CONSERVATION ACTIVITIES,,,0,,0,,26,1. GRAM
03051208880020609301,030512088800206093,030512088800206,1. RURAL,7505.813953488373,3. AMHARA,05,12,8,88,002,06,93,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,6. OTHERS(SPECIFY),I don't Need credit / I have adequate money,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,200,0,100,0,100,,87,,80,2. TO USE FOR BELG SEASON,,,2. NO,,,,,,0,,0,,22,1. GRAM
03051208880020610501,030512088800206105,030512088800206,1. RURAL,7505.813953488373,3. AMHARA,05,12,8,88,002,06,105,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,1. NON-AVAILABILITY OF THE SERVICE,,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,250,0,150,0,100,,140,,64,2. TO USE FOR BELG SEASON,,,1. YES,24,1. TERRACING,3. CONSERVATION ACTIVITIES,,,0,,0,,25,1. GRAM
03051208880020611701,030512088800206117,030512088800206,1. RURAL,7505.813953488373,3. AMHARA,05,12,8,88,002,06,117,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,6. OTHERS(SPECIFY),I don't Need credit / I have adequate money,1. YES,,,4. COOPERATIVE,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,135,0,65,0,70,,65,,70,,,,1. YES,25,1. TERRACING,3. CONSERVATION ACTIVITIES,,,0,,0,,18,1. GRAM
03051908880130401001,030519088801304010,030519088801304,1. RURAL,6952.753977968177,3. AMHARA,05,19,8,88,013,04,10,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,2. PRIVATE ORGANIZATION,,,3,,,3,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,200,0,150,0,50,,150,,50,,,,1. YES,18,1. TERRACING,7. PREPARING HOLES FOR TREE PLANTATION,11. STONE TERRACING,,0,,0,,60,1. GRAM
03051908880130402401,030519088801304024,030519088801304,1. RURAL,6952.753977968177,3. AMHARA,05,19,8,88,013,04,24,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,1. YES,2. PRIVATE ,,,,1. YES,,,2. PRIVATE ORGANIZATION,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,1. YES,3. á‹¨áŒ‹áˆ«/á‹¨á‹ˆáˆ  á‹¨áˆ†áŠ áŒáŒ¦áˆ½/áŒ á áˆ˜áˆ¬á‰µ /á‹°áŠ•,,500,0,300,0,200,,285,,200,1. TO USE REMAINING FOR ANOTHER TIME,,,1. YES,22,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,11. STONE TERRACING,,1,3. LITER,0,,2,3. LITER
03051908880130403801,030519088801304038,030519088801304,1. RURAL,6952.753977968177,3. AMHARA,05,19,8,88,013,04,38,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,2. PRIVATE ORGANIZATION,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,175,0,100,0,75,,100,,75,,,,2. NO,,,,,,0,,0,,10,1. GRAM
03051908880130405201,030519088801304052,030519088801304,1. RURAL,6952.753977968177,3. AMHARA,05,19,8,88,013,04,52,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,2. PRIVATE ORGANIZATION,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,150,0,100,0,50,,97,,49,1. TO USE REMAINING FOR ANOTHER TIME,,,1. YES,20,1. TERRACING,3. CONSERVATION ACTIVITIES,7. PREPARING HOLES FOR TREE PLANTATION,,0,,0,,1,3. LITER
03051908880130406601,030519088801304066,030519088801304,1. RURAL,6952.753977968177,3. AMHARA,05,19,8,88,013,04,66,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,2. PRIVATE ORGANIZATION,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,200,0,100,0,100,,88,,100,1. TO USE REMAINING FOR ANOTHER TIME,,,1. YES,20,3. CONSERVATION ACTIVITIES,7. PREPARING HOLES FOR TREE PLANTATION,11. STONE TERRACING,,0,,0,,0.5,1. GRAM
03051908880130408001,030519088801304080,030519088801304,1. RURAL,6952.753977968177,3. AMHARA,05,19,8,88,013,04,80,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,2. PRIVATE ORGANIZATION,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,250,0,125,0,106,,125,,110,1. TO USE REMAINING FOR ANOTHER TIME,,,1. YES,15,1. TERRACING,3. CONSERVATION ACTIVITIES,11. STONE TERRACING,,0,,0,,2,3. LITER
03051908880130409401,030519088801304094,030519088801304,1. RURAL,6952.753977968177,3. AMHARA,05,19,8,88,013,04,94,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,2. PRIVATE ORGANIZATION,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,100,0,50,0,50,,38,,25,1. TO USE REMAINING FOR ANOTHER TIME,,,1. YES,25,4. PREPARING WATER HARVESTING  PITS,7. PREPARING HOLES FOR TREE PLANTATION,11. STONE TERRACING,,0,,0,,0.5,3. LITER
03051908880130410801,030519088801304108,030519088801304,1. RURAL,6952.753977968177,3. AMHARA,05,19,8,88,013,04,108,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,2. PRIVATE ORGANIZATION,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,250,0,150,0,100,,140,,98,1. TO USE REMAINING FOR ANOTHER TIME,,,1. YES,25,1. TERRACING,4. PREPARING WATER HARVESTING  PITS,11. STONE TERRACING,,0,,0,,2,3. LITER
03051908880130412201,030519088801304122,030519088801304,1. RURAL,6952.753977968177,3. AMHARA,05,19,8,88,013,04,122,1,1. crop production only,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,2. PRIVATE ORGANIZATION,,,0,6. USING BORROWED OXEN,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,50,0,50,0,50,,5,,5,4. I GAVE IT TO ANOTHER PERSON,,,1. YES,15,1. TERRACING,3. CONSERVATION ACTIVITIES,11. STONE TERRACING,,0,,0,,0.5,3. LITER
03051908880130413601,030519088801304136,030519088801304,1. RURAL,6952.753977968177,3. AMHARA,05,19,8,88,013,04,136,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,2. PRIVATE ORGANIZATION,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,200,0,100,0,100,,85,,100,1. TO USE REMAINING FOR ANOTHER TIME,,,1. YES,22,1. TERRACING,3. CONSERVATION ACTIVITIES,11. STONE TERRACING,,0,,0,,0.5,2. KILO GRAM 
03051908880130414801,030519088801304148,030519088801304,1. RURAL,4586.886304909562,3. AMHARA,05,19,8,88,013,04,148,1,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03051908880130415601,030519088801304156,030519088801304,1. RURAL,4586.886304909562,3. AMHARA,05,19,8,88,013,04,156,1,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03060208880221000701,030602088802210007,030602088802210,1. RURAL,7383.122763864044,3. AMHARA,06,02,8,88,022,10,7,1,3. Both livestock and crop production,1. YES,1. YES,,,2. NO,1. IGNORANCE,,2. NO,,,4. IGNORANCE,,1. YES,,,4. COOPERATIVE,,,3,,,3,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,600,0,350,250,0,,350,250,,,,,1. YES,30,1. TERRACING,3. CONSERVATION ACTIVITIES,,,0.08,3. LITER,0,,0,
03060208880221001501,030602088802210015,030602088802210,1. RURAL,7383.122763864044,3. AMHARA,06,02,8,88,022,10,15,1,3. Both livestock and crop production,1. YES,1. YES,,,2. NO,1. IGNORANCE,,2. NO,,,5. DOES NOT YIELD ANY RESULTS,,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,225,0,125,100,0,,125,100,,,,,1. YES,30,1. TERRACING,,,,0.08,3. LITER,0,,0,
03060208880221002301,030602088802210023,030602088802210,1. RURAL,7383.122763864044,3. AMHARA,06,02,8,88,022,10,23,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,4. IGNORANCE,,1. YES,,,4. COOPERATIVE,,,1,3. BY PAIRING MINE W/OTHER ANIMAL,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,200,0,100,100,0,,100,100,,,,,1. YES,45,1. TERRACING,3. CONSERVATION ACTIVITIES,,,0,,0,,0.08,3. LITER
03060208880221003101,030602088802210031,030602088802210,1. RURAL,7383.122763864044,3. AMHARA,06,02,8,88,022,10,31,1,3. Both livestock and crop production,1. YES,1. YES,,,2. NO,1. IGNORANCE,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,0,6. USING BORROWED OXEN,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,25,0,25,0,0,,25,,,,,,2. NO,,,,,,0,,0,,0,
03060208880221003901,030602088802210039,030602088802210,1. RURAL,7383.122763864044,3. AMHARA,06,02,8,88,022,10,39,1,3. Both livestock and crop production,1. YES,1. YES,,,2. NO,1. IGNORANCE,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,0,6. USING BORROWED OXEN,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,25,0,25,0,0,,25,,,,,,1. YES,2,1. TERRACING,,,,0,,0,,0,
03060208880221004701,030602088802210047,030602088802210,1. RURAL,7383.122763864044,3. AMHARA,06,02,8,88,022,10,47,1,3. Both livestock and crop production,1. YES,1. YES,,,2. NO,3. SKEPTICAL OF THE OUTCOME,,2. NO,,,5. DOES NOT YIELD ANY RESULTS,,1. YES,,,4. COOPERATIVE,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,224,0,112,112,0,,112,112,,,,,2. NO,,,,,,0,,0,,0.08,3. LITER
