holder_id,household_id,harvestedcrop_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,saq15,s11q00a,s11q01,s11q02a1,s11q02a2,s11q02b1,s11q02b2,s11q03a1,s11q03a2,s11q03a2_os,s11q04,s11q07,s11q08_1,s11q08_2,s11q09_1,s11q09_2,s11q10,s11q10_os,s11q11a,s11q11b,s11q11b_os,s11q12,s11q13_1,s11q13_2,s11q14a,s11q14b,s11q15,s11q16,s11q16_os,s11q17,s11q18a1,s11q18a2,s11q18a2_os,s11q19a1,s11q19a2,s11q19a2_os,s11q20a1,s11q20a2,s11q20a2_os,s11q21a1,s11q21a2,s11q21a2_os,s11q21a3,s11q22_1,s11q22_2,s11q22_os,s11q23,s11q24,s11q24_os,s11q25,s11q25a,s11q25a_os,s11q26_1,s11q26_2,s11q26_os,s11q27a,s11q27b,s11q27c,s11q27d,s11q27e
03041608880130102701,030416088801301027,2,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,27,1,3. Both livestock and crop production,Nech shinkurt,55. GARLIC,,,,,2,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,1,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,1. Kilogram,,5. ELEVATION,,,0,50,0,50,100
03041608880130102701,030416088801301027,3,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,27,1,3. Both livestock and crop production,Mashila,6. SORGHUM,,,,,5,82. Joniya/Kasha Medium,,,2. NO,,,,,,,,,,,,,,,,,,,1,82. Joniya/Kasha Medium,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,4,82. Joniya/Kasha Medium,,4. DID NOTHING,,,50,40,0,10,100
03041608880130102701,030416088801301027,4,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,27,1,3. Both livestock and crop production,Teff,7. TEFF,,,,,3,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,3,3. Quintal,,4. DID NOTHING,,,40,50,0,10,100
03041608880130102701,030416088801301027,5,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,27,1,3. Both livestock and crop production,Sinde,8. WHEAT,,,,,2,82. Joniya/Kasha Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0.5,82. Joniya/Kasha Medium,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1.5,82. Joniya/Kasha Medium,,4. DID NOTHING,,,40,50,0,10,100
03041608880130102701,030416088801301027,6,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,27,1,3. Both livestock and crop production,Bakela,13. HORSE BEANS,,,,,3,82. Joniya/Kasha Medium,,,1. YES,1,2,1,2,4. LOCAL MARKET,,1,82. Joniya/Kasha Medium,,830,1,2,4. December,2011,1,3. Drapht Animals,,0,0.5,82. Joniya/Kasha Medium,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1.5,82. Joniya/Kasha Medium,,4. DID NOTHING,,,50,40,0,10,100
03041608880130104301,030416088801301043,1,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,43,1,3. Both livestock and crop production,Bekolo,2. MAIZE,,,,,1.5,82. Joniya/Kasha Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0.5,82. Joniya/Kasha Medium,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,82. Joniya/Kasha Medium,,4. DID NOTHING,,,0,90,0,10,100
03041608880130104301,030416088801301043,2,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,43,1,3. Both livestock and crop production,Bakela,13. HORSE BEANS,,,,,1,82. Joniya/Kasha Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,82. Joniya/Kasha Medium,,4. DID NOTHING,,,40,50,0,10,100
03041608880130106001,030416088801301060,1,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,60,1,3. Both livestock and crop production,Gebs,1. BARLEY,,,,,1,82. Joniya/Kasha Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,82. Joniya/Kasha Medium,,4. DID NOTHING,,,50,50,0,0,100
03041608880130106001,030416088801301060,2,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,60,1,3. Both livestock and crop production,Nech shinkurt,55. GARLIC,,,,,5,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,0.5,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,4.5,1. Kilogram,,5. ELEVATION,,,20,20,0,60,100
03041608880130106001,030416088801301060,3,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,60,1,3. Both livestock and crop production,Teff,7. TEFF,,,,,3,82. Joniya/Kasha Medium,,,1. YES,1,,1,,4. LOCAL MARKET,,1,82. Joniya/Kasha Medium,,1150,1,,5. January,2011,1,3. Drapht Animals,,0,0.5,82. Joniya/Kasha Medium,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,1.5,82. Joniya/Kasha Medium,,4. DID NOTHING,,,20,80,0,0,100
03041608880130106001,030416088801301060,4,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,60,1,3. Both livestock and crop production,Key shimbra,11. CHICK PEAS,,,,,2,82. Joniya/Kasha Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,2,82. Joniya/Kasha Medium,,4. DID NOTHING,,,50,25,0,25,100
03041608880130106001,030416088801301060,5,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,60,1,3. Both livestock and crop production,Guaya,16. VETCH,,,,,1,113. Kunna/Mishe/Kefer/Enkib Large,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,1,113. Kunna/Mishe/Kefer/Enkib Large,,4. DID NOTHING,,,0,50,0,50,100
03041608880130107601,030416088801301076,1,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,76,1,3. Both livestock and crop production,Duba,61. PUMPKINS,,,,,10,900. Other (Specify),Piece/number,,2. NO,,,,,,,,,,,,,,,,,,,10,900. Other (Specify),Piece/number,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
03041608880130107601,030416088801301076,2,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,76,1,3. Both livestock and crop production,Sinde,8. WHEAT,,,,,1,82. Joniya/Kasha Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,82. Joniya/Kasha Medium,,4. DID NOTHING,,,40,50,0,10,100
03041608880130107601,030416088801301076,3,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,76,1,3. Both livestock and crop production,Bakela,13. HORSE BEANS,,,,,0.5,113. Kunna/Mishe/Kefer/Enkib Large,,,2. NO,,,,,,,,,,,,,,,,,,,0.5,113. Kunna/Mishe/Kefer/Enkib Large,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
03041608880130107601,030416088801301076,4,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,76,1,3. Both livestock and crop production,Bekolo,2. MAIZE,,,,,3,113. Kunna/Mishe/Kefer/Enkib Large,,,2. NO,,,,,,,,,,,,,,,,,,,3,113. Kunna/Mishe/Kefer/Enkib Large,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
03041608880130107601,030416088801301076,5,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,76,1,3. Both livestock and crop production,Key shimbra,11. CHICK PEAS,,,,,6,82. Joniya/Kasha Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,6,82. Joniya/Kasha Medium,,4. DID NOTHING,,,25,65,0,10,100
03041608880130107601,030416088801301076,6,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,76,1,3. Both livestock and crop production,Guaya,16. VETCH,,,,,1,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,1,3. Quintal,,4. DID NOTHING,,,50,25,0,25,100
03041608880130107601,030416088801301076,7,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,76,1,3. Both livestock and crop production,Teff,7. TEFF,,,,,4,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,4,3. Quintal,,5. ELEVATION,,,40,50,0,10,100
03041608880130109201,030416088801301092,1,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,92,1,3. Both livestock and crop production,Gebs,1. BARLEY,,,,,1,82. Joniya/Kasha Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,82. Joniya/Kasha Medium,,4. DID NOTHING,,,0,90,0,10,100
03041608880130109201,030416088801301092,3,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,92,1,3. Both livestock and crop production,Bekolo,2. MAIZE,,,,,1,113. Kunna/Mishe/Kefer/Enkib Large,,,2. NO,,,,,,,,,,,,,,,,,,,1,113. Kunna/Mishe/Kefer/Enkib Large,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
03041608880130109201,030416088801301092,4,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,92,1,3. Both livestock and crop production,Teff,7. TEFF,,,,,8,82. Joniya/Kasha Medium,,,1. YES,1,2,1,2,4. LOCAL MARKET,,2,82. Joniya/Kasha Medium,,1990,1,2,5. January,2011,1,3. Drapht Animals,,0,1,82. Joniya/Kasha Medium,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,5,82. Joniya/Kasha Medium,,4. DID NOTHING,,,20,70,0,10,100
03041608880130109201,030416088801301092,5,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,92,1,3. Both livestock and crop production,Nug,25. NUEG,,,,,1.5,113. Kunna/Mishe/Kefer/Enkib Large,,,2. NO,,,,,,,,,,,,,,,,,,,0.5,113. Kunna/Mishe/Kefer/Enkib Large,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,113. Kunna/Mishe/Kefer/Enkib Large,,4. DID NOTHING,,,0,90,0,10,100
03041608880130109201,030416088801301092,6,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,92,1,3. Both livestock and crop production,Bakela,13. HORSE BEANS,,,,,2,82. Joniya/Kasha Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0.5,82. Joniya/Kasha Medium,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1.5,82. Joniya/Kasha Medium,,4. DID NOTHING,,,40,50,0,10,100
03041608880130109201,030416088801301092,7,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,92,1,3. Both livestock and crop production,Misr,14. LENTILS,,,,,1,113. Kunna/Mishe/Kefer/Enkib Large,,,2. NO,,,,,,,,,,,,,,,,,,,0.5,113. Kunna/Mishe/Kefer/Enkib Large,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,0.5,113. Kunna/Mishe/Kefer/Enkib Large,,4. DID NOTHING,,,0,90,0,10,100
03041608880130109201,030416088801301092,8,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,92,1,3. Both livestock and crop production,Absh,36. FENUGREEK,2. 2011,3. November,2. 2011,3. November,1,8. Jog,,0,2. NO,,,,,,,,,,,,,,,,,,,1,8. Jog,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
03041608880130110901,030416088801301109,2,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,109,1,3. Both livestock and crop production,Bakela,13. HORSE BEANS,,,,,2,111. Kunna/Mishe/Kefer/Enkib Small,,,2. NO,,,,,,,,,,,,,,,,,,,1,111. Kunna/Mishe/Kefer/Enkib Small,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,111. Kunna/Mishe/Kefer/Enkib Small,,1. SPRAYING,,,0,90,0,10,100
03041608880130110901,030416088801301109,3,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,109,1,3. Both livestock and crop production,Sinde,8. WHEAT,,,,,2,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,1,82. Joniya/Kasha Medium,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1.5,3. Quintal,,4. DID NOTHING,,,0,100,0,0,100
03041608880130110901,030416088801301109,4,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,109,1,3. Both livestock and crop production,Teff,7. TEFF,,,,,3,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,3,3. Quintal,,5. ELEVATION,,,9,83,0,8,100
03041608880130110901,030416088801301109,5,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,109,1,3. Both livestock and crop production,Key shimbra,11. CHICK PEAS,,,,,2,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,1,3. Quintal,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,3. Quintal,,4. DID NOTHING,,,25,50,0,25,100
03041608880130110901,030416088801301109,6,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,109,1,3. Both livestock and crop production,Guaya,16. VETCH,,,,,1,82. Joniya/Kasha Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,1,82. Joniya/Kasha Medium,,4. DID NOTHING,,,0,40,0,60,100
03041608880130112801,030416088801301128,2,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,128,1,3. Both livestock and crop production,Teff,7. TEFF,,,,,3.5,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,3.5,3. Quintal,,5. ELEVATION,,,40,50,0,10,100
03041608880130112801,030416088801301128,3,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,128,1,3. Both livestock and crop production,Nech shinkurt,55. GARLIC,,,,,10,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,2,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,8,1. Kilogram,,5. ELEVATION,,,0,50,0,50,100
03041608880130112801,030416088801301128,4,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,128,1,3. Both livestock and crop production,Duba,61. PUMPKINS,,,,,3,900. Other (Specify),Piece/number,,2. NO,,,,,,,,,,,,,,,,,,,3,900. Other (Specify),Piece/number,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
03041608880130112801,030416088801301128,5,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,128,1,3. Both livestock and crop production,Sinde,8. WHEAT,,,,,2,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,1,82. Joniya/Kasha Medium,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1.5,3. Quintal,,4. DID NOTHING,,,0,80,0,20,100
03041608880130112801,030416088801301128,6,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,128,1,3. Both livestock and crop production,Key shimbra,11. CHICK PEAS,,,,,4,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,4,3. Quintal,,5. ELEVATION,,,65,25,0,10,100
03041608880130112801,030416088801301128,8,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,128,1,3. Both livestock and crop production,Guaya,16. VETCH,,,,,2,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,2,3. Quintal,,5. ELEVATION,,,65,25,0,10,100
03041608880130114501,030416088801301145,1,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,145,1,3. Both livestock and crop production,Bekolo,2. MAIZE,,,,,1,113. Kunna/Mishe/Kefer/Enkib Large,,,2. NO,,,,,,,,,,,,,,,,,,,1,113. Kunna/Mishe/Kefer/Enkib Large,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
03041608880130114501,030416088801301145,2,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,145,1,3. Both livestock and crop production,Gebs,1. BARLEY,,,,,2,113. Kunna/Mishe/Kefer/Enkib Large,,,2. NO,,,,,,,,,,,,,,,,,,,0.5,113. Kunna/Mishe/Kefer/Enkib Large,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1.5,113. Kunna/Mishe/Kefer/Enkib Large,,4. DID NOTHING,,,0,80,0,20,100
03041608880130114501,030416088801301145,3,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,145,1,3. Both livestock and crop production,Bakela,13. HORSE BEANS,,,,,1.5,3. Quintal,,,1. YES,1,2,1,2,4. LOCAL MARKET,,1,82. Joniya/Kasha Medium,,830,1,2,4. December,2011,1,3. Drapht Animals,,0,0,,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,3. Quintal,,4. DID NOTHING,,,50,40,0,10,100
03041608880130114501,030416088801301145,4,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,145,1,3. Both livestock and crop production,Teff,7. TEFF,,,,,5.5,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,1,82. Joniya/Kasha Medium,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,5,3. Quintal,,5. ELEVATION,,,40,50,0,10,100
03041608880130114501,030416088801301145,5,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,145,1,3. Both livestock and crop production,Key shimbra,11. CHICK PEAS,,,,,2,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,2,3. Quintal,,5. ELEVATION,,,33,57,0,10,100
03041608880130114501,030416088801301145,6,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,145,1,3. Both livestock and crop production,Guaya,16. VETCH,,,,,1,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,1,82. Joniya/Kasha Medium,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,1,82. Joniya/Kasha Medium,,5. ELEVATION,,,50,40,0,10,100
03041608880130114501,030416088801301145,7,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,145,1,3. Both livestock and crop production,Sinde,8. WHEAT,,,,,1,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,3. Quintal,,4. DID NOTHING,,,0,90,0,10,100
03041608880130116201,030416088801301162,1,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,162,1,3. Both livestock and crop production,Duba,61. PUMPKINS,,,,,6,900. Other (Specify),Piece/number,,2. NO,,,,,,,,,,,,,,,,,,,6,900. Other (Specify),Piece/number,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
03041608880130116201,030416088801301162,2,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,162,1,3. Both livestock and crop production,Bekolo,2. MAIZE,,,,,1,113. Kunna/Mishe/Kefer/Enkib Large,,,2. NO,,,,,,,,,,,,,,,,,,,1,113. Kunna/Mishe/Kefer/Enkib Large,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
03041608880130116201,030416088801301162,3,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,162,1,3. Both livestock and crop production,Sinde,8. WHEAT,,,,,1,113. Kunna/Mishe/Kefer/Enkib Large,,,2. NO,,,,,,,,,,,,,,,,,,,0.5,113. Kunna/Mishe/Kefer/Enkib Large,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,0.5,113. Kunna/Mishe/Kefer/Enkib Large,,4. DID NOTHING,,,40,50,0,10,100
03041608880130116201,030416088801301162,4,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,162,1,3. Both livestock and crop production,Nech shinkurt,55. GARLIC,,,,,7,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,1,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,6,1. Kilogram,,5. ELEVATION,,,0,50,0,50,100
03041608880130116201,030416088801301162,5,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,162,1,3. Both livestock and crop production,Bakela,13. HORSE BEANS,,,,,2,113. Kunna/Mishe/Kefer/Enkib Large,,,1. YES,1,2,1,2,4. LOCAL MARKET,,2,113. Kunna/Mishe/Kefer/Enkib Large,,300,1,2,4. December,2011,1,3. Drapht Animals,,0,0,,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
03041608880130116201,030416088801301162,6,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,162,1,3. Both livestock and crop production,Teff,7. TEFF,,,,,8,82. Joniya/Kasha Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,8,82. Joniya/Kasha Medium,,5. ELEVATION,,,40,50,0,10,100
03041608880130116201,030416088801301162,7,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,162,1,3. Both livestock and crop production,Nug,25. NUEG,,,,,6,113. Kunna/Mishe/Kefer/Enkib Large,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,3,113. Kunna/Mishe/Kefer/Enkib Large,,0,,,0,,,,,,,1. YES,3. Bags in House,,3,113. Kunna/Mishe/Kefer/Enkib Large,,4. DID NOTHING,,,40,50,0,10,100
03041608880130116201,030416088801301162,8,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,162,1,3. Both livestock and crop production,Absh,36. FENUGREEK,2. 2011,3. November,2. 2011,4. December,15,8. Jog,,0,1. YES,1,2,1,2,4. LOCAL MARKET,,10,8. Jog,,60,1,2,4. December,2011,1,1. On Foot,,0,0,,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,5,8. Jog,,4. DID NOTHING,,,40,50,0,10,100
03041608880130116201,030416088801301162,9,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,162,1,3. Both livestock and crop production,Key shimbra,11. CHICK PEAS,,,,,3,82. Joniya/Kasha Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,3,82. Joniya/Kasha Medium,,4. DID NOTHING,,,65,25,0,10,100
03041608880130116201,030416088801301162,10,030416088801301,1. RURAL,10148.4859496124,3. AMHARA,04,16,8,88,013,01,162,1,3. Both livestock and crop production,Guaya,16. VETCH,,,,,3,82. Joniya/Kasha Medium,,,1. YES,1,2,1,2,4. LOCAL MARKET,,2,82. Joniya/Kasha Medium,,1300,1,2,5. January,2011,1,3. Drapht Animals,,0,0,,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,82. Joniya/Kasha Medium,,4. DID NOTHING,,,65,25,0,10,100
03050508880050501001,030505088800505010,1,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,10,1,3. Both livestock and crop production,gebis,1. BARLEY,,,,,19,122. Madaberia/Nuse/Shera/Cheret Medium,,,2. NO,,,,,,,,,,,,,,,,,,,5,122. Madaberia/Nuse/Shera/Cheret Medium,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,14,122. Madaberia/Nuse/Shera/Cheret Medium,,5. ELEVATION,,,0,67,0,33,100
03050508880050501001,030505088800505010,2,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,10,1,3. Both livestock and crop production,misr,14. LENTILS,,,,,16,152. Sahin Medium,,,1. YES,1,,1,,5. MAIN MARKET,,14,122. Madaberia/Nuse/Shera/Cheret Medium,,940,1,,4. December,2011,2,2. TRANSPORT,,15,1,152. Sahin Medium,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,152. Sahin Medium,,4. DID NOTHING,,,0,100,0,0,100
03050508880050501001,030505088800505010,3,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,10,1,3. Both livestock and crop production,telba,23. LINESEED,,,,,3,152. Sahin Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,3,152. Sahin Medium,,4. DID NOTHING,,,0,50,0,50,100
03050508880050502001,030505088800505020,1,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,20,1,3. Both livestock and crop production,gebis,1. BARLEY,,,,,16.5,122. Madaberia/Nuse/Shera/Cheret Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,16.5,122. Madaberia/Nuse/Shera/Cheret Medium,,5. ELEVATION,,,25,50,0,25,100
03050508880050503001,030505088800505030,1,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,30,1,3. Both livestock and crop production,gebis,1. BARLEY,,,,,12.5,122. Madaberia/Nuse/Shera/Cheret Medium,,,1. YES,1,2,1,,5. MAIN MARKET,,1,122. Madaberia/Nuse/Shera/Cheret Medium,,520,1,2,3. November,2011,1,1. On Foot,,0,3,122. Madaberia/Nuse/Shera/Cheret Medium,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,8.5,122. Madaberia/Nuse/Shera/Cheret Medium,,5. ELEVATION,,,0,60,0,40,100
03050508880050503001,030505088800505030,2,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,30,1,3. Both livestock and crop production,sinde,8. WHEAT,,,,,6,122. Madaberia/Nuse/Shera/Cheret Medium,,,2. NO,,,,,,,,,,,,,,,,,,,7,152. Sahin Medium,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,5.8,122. Madaberia/Nuse/Shera/Cheret Medium,,5. ELEVATION,,,0,80,0,20,100
03050508880050503001,030505088800505030,3,030505088800505,1. RURAL,7749.423704610364,3. AMHARA,05,05,8,88,005,05,30,1,3. Both livestock and crop production,bakela,13. HORSE BEANS,,,,,1.5,122. Madaberia/Nuse/Shera/Cheret Medium,,,2. NO,,,,,,,,,,,,,,,,,,,0.5,122. Madaberia/Nuse/Shera/Cheret Medium,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,122. Madaberia/Nuse/Shera/Cheret Medium,,4. DID NOTHING,,,0,75,0,25,100
